"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-05-07,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cu2609,,,,,,,,,,2026-05-07,
1,0004(brokerage business),1713,1020,1,0004(brokerage business),4627,275,1,0004(brokerage business),12420,256
2,0148(brokerage business),1405,515,2,0148(brokerage business),3571,142,2,0148(brokerage business),10184,299
3,0163(brokerage business),1140,382,3,0034(brokerage business),2777,9,3,0042(brokerage business),3133,-72
4,0069(brokerage business),851,563,4,0136(brokerage business),2149,72,4,0049(brokerage business),2763,25
5,0253(brokerage business),784,184,5,0069(brokerage business),2087,-242,5,0003(brokerage business),2575,-11
6,0088(brokerage business),669,293,6,0272(brokerage business),1591,-60,6,0253(brokerage business),1576,-27
7,0239(brokerage business),456,456,7,0178(brokerage business),1508,33,7,0163(brokerage business),1395,70
8,0274(brokerage business),377,336,8,0042(brokerage business),1381,38,8,0139(brokerage business),1282,-2
9,0240(brokerage business),375,189,9,0323(brokerage business),1321,-13,9,0088(brokerage business),1210,185
10,0308(brokerage business),368,177,10,0338(brokerage business),1268,6,10,0372(brokerage business),1203,14
11,0019(brokerage business),329,39,11,0288(brokerage business),1259,-32,11,0096(brokerage business),1097,2
12,0272(brokerage business),297,-92,12,0077(brokerage business),1248,56,12,0240(brokerage business),816,96
13,0042(brokerage business),252,108,13,0274(brokerage business),1198,299,13,0018(brokerage business),810,48
14,0259(brokerage business),246,146,14,0031(brokerage business),1194,1,14,0272(brokerage business),616,-31
15,0077(brokerage business),219,-483,15,0025(brokerage business),1075,-24,15,0034(brokerage business),603,8
16,0136(brokerage business),219,206,16,0049(brokerage business),1064,-26,16,0081(brokerage business),529,9
17,0177(brokerage business),201,192,17,0096(brokerage business),1011,83,17,0261(brokerage business),517,0
18,0096(brokerage business),193,46,18,0339(brokerage business),885,0,18,0169(brokerage business),504,169
19,0018(brokerage business),186,162,19,0268(brokerage business),884,21,19,0082(brokerage business),367,2
20,0059(brokerage business),182,171,20,0177(brokerage business),870,-100,20,0244(brokerage business),363,0
Total,,10462,4610,Total,,32968,538,Total,,43963,1040
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-05-07,
1,0136(brokerage business),539,539,1,0148(brokerage business),1789,-112,1,0004(brokerage business),3730,-6
2,0004(brokerage business),430,299,2,0004(brokerage business),1272,-176,2,0148(brokerage business),3197,33
3,0253(brokerage business),396,286,3,0069(brokerage business),952,-16,3,0253(brokerage business),1731,78
4,0088(brokerage business),324,66,4,0088(brokerage business),936,17,4,0042(brokerage business),1506,16
5,0308(brokerage business),244,54,5,0288(brokerage business),936,-92,5,0163(brokerage business),1102,14
6,0148(brokerage business),243,101,6,0272(brokerage business),896,2,6,0157(brokerage business),508,150
7,0069(brokerage business),196,133,7,0049(brokerage business),853,15,7,0103(brokerage business),441,2
8,0163(brokerage business),159,58,8,0031(brokerage business),715,0,8,0139(brokerage business),386,0
9,0288(brokerage business),155,153,9,0136(brokerage business),560,527,9,0153(brokerage business),364,0
10,0157(brokerage business),153,151,10,0338(brokerage business),497,11,10,0088(brokerage business),345,57
11,0259(brokerage business),127,45,11,0096(brokerage business),484,-28,11,0321(brokerage business),327,0
12,0240(brokerage business),119,81,12,0323(brokerage business),417,0,12,0049(brokerage business),265,28
13,0049(brokerage business),93,57,13,0103(brokerage business),403,-5,13,0008(brokerage business),237,0
14,0077(brokerage business),93,64,14,0253(brokerage business),380,82,14,0009(brokerage business),236,0
15,0095(brokerage business),70,63,15,0161(brokerage business),352,15,15,0096(brokerage business),211,1
16,0276(brokerage business),69,60,16,0315(brokerage business),352,2,16,0025(brokerage business),157,-1
17,0272(brokerage business),66,-66,17,0003(brokerage business),319,2,17,0272(brokerage business),122,-38
18,0042(brokerage business),57,0,18,0019(brokerage business),255,0,18,0003(brokerage business),98,0
19,0186(brokerage business),57,53,19,0240(brokerage business),241,-19,19,0268(brokerage business),94,1
20,0018(brokerage business),45,7,20,0169(brokerage business),231,-2,20,0308(brokerage business),92,-11
Total,,3635,2204,Total,,12840,223,Total,,15149,324
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2612,,,,,,,,,,2026-05-07,
1,0096(brokerage business),802,747,1,0148(brokerage business),2221,43,1,0148(brokerage business),10385,59
2,0069(brokerage business),715,426,2,0136(brokerage business),1809,278,2,0004(brokerage business),2992,162
3,0323(brokerage business),504,486,3,0049(brokerage business),1749,50,3,0042(brokerage business),2052,0
4,0163(brokerage business),449,174,4,0069(brokerage business),1570,1,4,0239(brokerage business),1627,0
5,0004(brokerage business),418,315,5,0004(brokerage business),1144,82,5,0253(brokerage business),1034,87
6,0136(brokerage business),280,280,6,0034(brokerage business),1045,-3,6,0025(brokerage business),1010,40
7,0253(brokerage business),280,97,7,0003(brokerage business),1019,0,7,0049(brokerage business),986,43
8,0240(brokerage business),259,126,8,0031(brokerage business),1006,0,8,0163(brokerage business),519,-4
9,0148(brokerage business),232,4,9,0338(brokerage business),891,0,9,0069(brokerage business),491,64
10,0095(brokerage business),185,88,10,0025(brokerage business),856,-2,10,0240(brokerage business),415,46
11,0077(brokerage business),160,72,11,0082(brokerage business),787,-40,11,0103(brokerage business),362,31
12,0272(brokerage business),141,72,12,0043(brokerage business),786,62,12,0186(brokerage business),345,77
13,0049(brokerage business),139,42,13,0323(brokerage business),779,199,13,0001(brokerage business),223,44
14,0259(brokerage business),113,1,14,0081(brokerage business),745,-6,14,0272(brokerage business),162,55
15,0001(brokerage business),103,103,15,0096(brokerage business),736,122,15,0095(brokerage business),157,108
16,0186(brokerage business),88,44,16,0042(brokerage business),712,1,16,0323(brokerage business),156,3
17,0081(brokerage business),69,-28,17,0272(brokerage business),578,16,17,0088(brokerage business),141,41
18,0295(brokerage business),65,13,18,0161(brokerage business),500,-1,18,0034(brokerage business),135,1
19,0043(brokerage business),62,-22,19,0253(brokerage business),486,91,19,0321(brokerage business),127,4
20,0103(brokerage business),45,22,20,0274(brokerage business),440,29,20,0018(brokerage business),125,0
Total,,5109,3062,Total,,19859,922,Total,,23444,861
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：alall,,,,,,,2026-05-07,,,,
Name of FF Member/OSBP,909048,445679,Name of FF Member/OSBP,682736,14548,Name of FF Member/OSBP,660083,16894,,,
Name of Non-FF Member/OSNBP,2638,-1449,Name of Non-FF Member/OSNBP,0,0,Name of Non-FF Member/OSNBP,22653,-2346,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2605,,,,,,,,,,2026-05-07,
1,0163(brokerage business),3690,570,1,0148(brokerage business),7045,-240,1,0148(brokerage business),5850,-340
2,0148(brokerage business),3240,1895,2,0004(brokerage business),4330,-1410,2,0004(brokerage business),3545,-355
3,0004(brokerage business),2205,1258,3,0139(brokerage business),2575,210,3,0029(brokerage business),1585,0
4,0139(brokerage business),1535,820,4,0163(brokerage business),1115,160,4,0123(brokerage business),1455,-210
5,0096(brokerage business),1230,1060,5,0123(brokerage business),1075,55,5,0019(brokerage business),1065,-375
6,0275(brokerage business),1030,650,6,0003(brokerage business),1030,-275,6,0171(brokerage business),970,0
7,0259(brokerage business),995,130,7,0240(brokerage business),900,-65,7,0253(brokerage business),815,-30
8,0003(brokerage business),965,965,8,0049(brokerage business),815,30,8,0323(brokerage business),770,-115
9,0058(brokerage business),940,450,9,0069(brokerage business),730,-345,9,0272(brokerage business),735,135
10,0069(brokerage business),930,724,10,0272(brokerage business),710,-95,10,0169(brokerage business),720,200
11,0123(brokerage business),925,135,11,0034(brokerage business),650,95,11,0139(brokerage business),715,-685
12,0048(brokerage business),885,885,12,0299(brokerage business),625,55,12,0043(brokerage business),670,0
13,0019(brokerage business),725,320,13,0019(brokerage business),525,-310,13,0049(brokerage business),670,-5
14,0272(brokerage business),720,-90,14,0338(brokerage business),515,5,14,0268(brokerage business),625,15
15,0125(brokerage business),645,645,15,0253(brokerage business),405,-110,15,0058(brokerage business),620,-85
16,0274(brokerage business),605,440,16,0006(brokerage business),400,0,16,0321(brokerage business),620,0
17,0018(brokerage business),500,380,17,0178(brokerage business),400,0,17,0137(brokerage business),595,-205
18,0077(brokerage business),375,300,18,0059(brokerage business),395,-15,18,0277(brokerage business),580,-35
19,0137(brokerage business),365,345,19,0051(brokerage business),385,0,19,0163(brokerage business),500,-70
20,0082(brokerage business),360,100,20,0031(brokerage business),380,45,20,0349(brokerage business),490,-10
Total,,22865,11982,Total,,25005,-2210,Total,,23595,-2170
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2606,,,,,,,,,,2026-05-07,
1,0004(brokerage business),79592,34951,1,0148(brokerage business),30460,204,1,0004(brokerage business),33691,1652
2,0148(brokerage business),61122,31262,2,0004(brokerage business),27443,-3690,2,0148(brokerage business),31383,564
3,0253(brokerage business),41883,18654,3,0163(brokerage business),13099,-2514,3,0123(brokerage business),23842,-763
4,0163(brokerage business),37007,21120,4,0103(brokerage business),11368,-1608,4,0253(brokerage business),11428,-1049
5,0259(brokerage business),31451,19668,5,0253(brokerage business),10951,-354,5,0272(brokerage business),10203,637
6,0081(brokerage business),29103,15300,6,0123(brokerage business),8431,1451,6,0059(brokerage business),9644,756
7,0123(brokerage business),17646,1864,7,0069(brokerage business),8016,1870,7,0058(brokerage business),8541,-1532
8,0275(brokerage business),16252,7368,8,0240(brokerage business),7655,1107,8,0163(brokerage business),7885,1803
9,0272(brokerage business),14255,8362,9,0275(brokerage business),7355,2631,9,0240(brokerage business),7167,-1374
10,0240(brokerage business),12247,7155,10,0272(brokerage business),6781,-506,10,0029(brokerage business),7139,-348
11,0268(brokerage business),8926,5694,11,0096(brokerage business),6703,248,11,0139(brokerage business),6440,-637
12,0049(brokerage business),7516,6067,12,0268(brokerage business),6395,-2093,12,0034(brokerage business),5561,-218
13,0034(brokerage business),6975,3835,13,0059(brokerage business),5878,27,13,0082(brokerage business),5097,-329
14,0069(brokerage business),6554,3379,14,0082(brokerage business),5612,197,14,0275(brokerage business),5009,-461
15,0389(brokerage business),6143,2754,15,0049(brokerage business),5438,274,15,0009(brokerage business),4434,-706
16,0042(brokerage business),5806,3632,16,0308(brokerage business),4888,338,16,0008(brokerage business),4289,51
17,0043(brokerage business),5724,3324,17,0042(brokerage business),4864,-31,17,0335(brokerage business),4266,1368
18,0274(brokerage business),5304,3434,18,0034(brokerage business),4855,373,18,0153(brokerage business),3982,1339
19,0298(brokerage business),5085,2714,19,0139(brokerage business),4845,143,19,0003(brokerage business),3856,-565
20,0308(brokerage business),4970,1825,20,0323(brokerage business),4663,58,20,0042(brokerage business),3684,-365
Total,,403561,202362,Total,,185700,-1875,Total,,197541,-177
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2607,,,,,,,,,,2026-05-07,
1,0004(brokerage business),55556,27108,1,0148(brokerage business),23943,596,1,0148(brokerage business),34267,753
2,0148(brokerage business),19743,7777,2,0004(brokerage business),20743,-1306,2,0123(brokerage business),21171,272
3,0253(brokerage business),15365,4410,3,0268(brokerage business),11736,523,3,0004(brokerage business),15588,872
4,0081(brokerage business),14297,8589,4,0272(brokerage business),8763,177,4,0163(brokerage business),8354,2136
5,0163(brokerage business),13013,6160,5,0163(brokerage business),8119,-1499,5,0239(brokerage business),6274,1183
6,0123(brokerage business),9984,7219,6,0123(brokerage business),6390,376,6,0139(brokerage business),5957,0
7,0323(brokerage business),6066,3760,7,0323(brokerage business),5327,1785,7,0272(brokerage business),5626,473
8,0275(brokerage business),6027,4065,8,0069(brokerage business),5279,1780,8,0268(brokerage business),5185,145
9,0069(brokerage business),5499,4480,9,0084(brokerage business),5085,-107,9,0058(brokerage business),4992,-300
10,0240(brokerage business),4815,2453,10,0239(brokerage business),4803,113,10,0003(brokerage business),4578,185
11,0239(brokerage business),3934,2089,11,0103(brokerage business),4483,234,11,0103(brokerage business),4358,-58
12,0272(brokerage business),2808,-486,12,0042(brokerage business),4407,314,12,0049(brokerage business),4016,1238
13,0034(brokerage business),2789,2035,13,0308(brokerage business),4278,-110,13,0240(brokerage business),3912,1555
14,0308(brokerage business),2608,807,14,0096(brokerage business),4243,152,14,0253(brokerage business),3829,640
15,0049(brokerage business),2531,2195,15,0009(brokerage business),4057,1225,15,0034(brokerage business),3806,41
16,0088(brokerage business),2445,2103,16,0048(brokerage business),4027,929,16,0002(brokerage business),3500,0
17,0274(brokerage business),2442,1900,17,0003(brokerage business),3995,152,17,0275(brokerage business),3355,129
18,0009(brokerage business),2406,1928,18,0253(brokerage business),3312,-1907,18,0029(brokerage business),3193,130
19,0007(brokerage business),2322,1865,19,0007(brokerage business),3247,1533,19,0323(brokerage business),3150,107
20,0018(brokerage business),2112,1233,20,0049(brokerage business),3058,601,20,0008(brokerage business),2785,28
Total,,176762,91690,Total,,139295,5561,Total,,147896,9529
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2608,,,,,,,,,,2026-05-07,
1,0004(brokerage business),6341,3590,1,0148(brokerage business),11490,982,1,0082(brokerage business),8151,307
2,0253(brokerage business),5708,2475,2,0004(brokerage business),11044,-296,2,0148(brokerage business),6751,914
3,0148(brokerage business),5256,2345,3,0003(brokerage business),3667,21,3,0139(brokerage business),5253,-8
4,0081(brokerage business),5168,3101,4,0272(brokerage business),3311,427,4,0004(brokerage business),4515,-51
5,0163(brokerage business),3703,1985,5,0103(brokerage business),2275,86,5,0253(brokerage business),4294,231
6,0069(brokerage business),2437,1935,6,0261(brokerage business),2007,2,6,0308(brokerage business),4090,490
7,0259(brokerage business),1799,1285,7,0069(brokerage business),1592,238,7,0249(brokerage business),3414,-1
8,0308(brokerage business),1733,1131,8,0274(brokerage business),1538,510,8,0323(brokerage business),3092,491
9,0123(brokerage business),1363,822,9,0268(brokerage business),1422,47,9,0103(brokerage business),1769,21
10,0323(brokerage business),1246,337,10,0096(brokerage business),1356,395,10,0272(brokerage business),1762,-19
11,0272(brokerage business),1198,-622,11,0239(brokerage business),1312,2,11,0123(brokerage business),1186,-150
12,0385(brokerage business),1160,1158,12,0081(brokerage business),1250,-49,12,0003(brokerage business),1120,3
13,0274(brokerage business),1157,934,13,0385(brokerage business),1162,1160,13,0275(brokerage business),1036,102
14,0088(brokerage business),914,458,14,0161(brokerage business),1104,33,14,0042(brokerage business),978,-545
15,0240(brokerage business),824,358,15,0163(brokerage business),1031,91,15,0240(brokerage business),971,30
16,0275(brokerage business),769,191,16,0252(brokerage business),1000,200,16,0163(brokerage business),947,180
17,0042(brokerage business),752,286,17,0308(brokerage business),952,-183,17,0088(brokerage business),915,506
18,0295(brokerage business),704,313,18,0042(brokerage business),918,21,18,0069(brokerage business),913,833
19,0058(brokerage business),698,488,19,0139(brokerage business),842,4,19,0268(brokerage business),837,36
20,0137(brokerage business),591,482,20,0253(brokerage business),803,103,20,0137(brokerage business),715,-299
Total,,43521,23052,Total,,50076,3794,Total,,52709,3071
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2609,,,,,,,,,,2026-05-07,
1,0253(brokerage business),4902,1485,1,0148(brokerage business),6409,476,1,0148(brokerage business),6426,123
2,0081(brokerage business),3729,1493,2,0004(brokerage business),4238,332,2,0082(brokerage business),6347,9
3,0148(brokerage business),3617,1703,3,0323(brokerage business),3799,174,3,0004(brokerage business),5030,787
4,0163(brokerage business),2788,1712,4,0069(brokerage business),2861,73,4,0249(brokerage business),3609,6
5,0004(brokerage business),2309,1591,5,0261(brokerage business),2001,0,5,0103(brokerage business),3241,394
6,0274(brokerage business),2113,1841,6,0161(brokerage business),1992,121,6,0139(brokerage business),2521,-4
7,0069(brokerage business),1395,782,7,0274(brokerage business),1755,1644,7,0059(brokerage business),2083,36
8,0275(brokerage business),1142,573,8,0163(brokerage business),1727,12,8,0163(brokerage business),2066,554
9,0272(brokerage business),1129,730,9,0272(brokerage business),1433,630,9,0308(brokerage business),1995,201
