"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-05-07,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-05-07,,,,
Name of FF Member/OSBP,320766,83740,Name of FF Member/OSBP,526631,3184,Name of FF Member/OSBP,523698,2696,,,
Name of Non-FF Member/OSNBP,1582,398,Name of Non-FF Member/OSNBP,5459,-338,Name of Non-FF Member/OSNBP,8392,150,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2605,,,,,,,,,,2026-05-07,
1,0049(brokerage business),4830,-410,1,0049(brokerage business),4020,-1765,1,0049(brokerage business),4645,-835
2,0163(brokerage business),3525,610,2,0004(brokerage business),3760,-475,2,0139(brokerage business),2605,-1005
3,0148(brokerage business),3400,-127,3,0148(brokerage business),3600,-670,3,0009(brokerage business),2330,-250
4,0272(brokerage business),2255,705,4,0025(brokerage business),3220,-750,4,0148(brokerage business),1800,-660
5,0321(brokerage business),1870,410,5,0315(brokerage business),2690,-315,5,0082(brokerage business),1790,-90
6,0004(brokerage business),1830,405,6,0321(brokerage business),2255,-1040,6,0004(brokerage business),1590,-235
7,0139(brokerage business),1535,1305,7,0009(brokerage business),1900,40,7,0034(brokerage business),1365,165
8,0333(brokerage business),1400,1200,8,0272(brokerage business),1170,25,8,0240(brokerage business),1285,-175
9,0042(brokerage business),1270,855,9,0003(brokerage business),1065,-395,9,0272(brokerage business),1215,-720
10,0009(brokerage business),1190,480,10,0043(brokerage business),810,-45,10,0321(brokerage business),1070,-500
11,0025(brokerage business),1105,-330,11,0096(brokerage business),735,-110,11,0081(brokerage business),945,0
12,0034(brokerage business),1060,649,12,0042(brokerage business),720,265,12,0096(brokerage business),860,-140
13,0058(brokerage business),970,-565,13,0007(brokerage business),710,15,13,0048(brokerage business),805,-180
14,0052(brokerage business),880,55,14,0178(brokerage business),550,-50,14,0058(brokerage business),700,45
15,0018(brokerage business),870,605,15,0163(brokerage business),540,35,15,0052(brokerage business),685,160
16,0006(brokerage business),805,150,16,0253(brokerage business),450,-190,16,0163(brokerage business),680,-450
17,0240(brokerage business),680,405,17,0069(brokerage business),380,-175,17,0169(brokerage business),660,-195
18,0315(brokerage business),645,-470,18,0299(brokerage business),365,185,18,0042(brokerage business),505,-185
19,0096(brokerage business),620,-71,19,0048(brokerage business),360,130,19,0253(brokerage business),500,-45
20,0069(brokerage business),580,60,20,0295(brokerage business),340,-10,20,0051(brokerage business),455,-70
Total,,31320,5921,Total,,29640,-5295,Total,,26490,-5365
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2606,,,,,,,,,,2026-05-07,
1,0004(brokerage business),23580,7345,1,0004(brokerage business),29380,218,1,0148(brokerage business),19622,829
2,0163(brokerage business),17334,4984,2,0148(brokerage business),23580,34,2,0049(brokerage business),19017,337
3,0148(brokerage business),15979,6124,3,0163(brokerage business),11059,1156,3,0272(brokerage business),14245,138
4,0253(brokerage business),8614,3212,4,0103(brokerage business),8208,-1069,4,0004(brokerage business),13361,-390
5,0308(brokerage business),5184,1373,5,0272(brokerage business),6238,263,5,0009(brokerage business),9031,450
6,0272(brokerage business),5157,405,6,0025(brokerage business),5674,72,6,0042(brokerage business),6885,-518
7,0049(brokerage business),3704,1575,7,0253(brokerage business),4668,-150,7,0163(brokerage business),6606,-1084
8,0240(brokerage business),3436,1154,8,0240(brokerage business),3639,71,8,0315(brokerage business),6454,-430
9,0081(brokerage business),3296,688,9,0335(brokerage business),3595,0,9,0321(brokerage business),5096,27
10,0042(brokerage business),3106,1696,10,0161(brokerage business),3413,1,10,0139(brokerage business),4899,697
11,0123(brokerage business),2775,-903,11,0049(brokerage business),3395,-203,11,0003(brokerage business),4365,-121
12,0096(brokerage business),2763,1114,12,0042(brokerage business),3388,-68,12,0253(brokerage business),4175,-62
13,0069(brokerage business),2667,1349,13,0096(brokerage business),3240,619,13,0018(brokerage business),3723,-317
14,0275(brokerage business),2451,164,14,0315(brokerage business),3115,1,14,0058(brokerage business),3635,241
15,0034(brokerage business),2345,109,15,0082(brokerage business),3033,8,15,0082(brokerage business),3607,178
16,0043(brokerage business),2284,1303,16,0034(brokerage business),2890,46,16,0169(brokerage business),3355,149
17,0103(brokerage business),2041,280,17,0323(brokerage business),2720,47,17,0240(brokerage business),3215,-693
18,0259(brokerage business),2040,904,18,0308(brokerage business),2546,-27,18,0034(brokerage business),3206,-135
19,0136(brokerage business),1841,1283,19,0268(brokerage business),2531,76,19,0108(brokerage business),2830,-4
20,0268(brokerage business),1745,254,20,0081(brokerage business),2478,-565,20,0048(brokerage business),2761,231
Total,,112342,34413,Total,,128790,530,Total,,140088,-477
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2607,,,,,,,,,,2026-05-07,
1,0004(brokerage business),12931,5295,1,0148(brokerage business),18346,-150,1,0148(brokerage business),17623,149
2,0148(brokerage business),5895,1744,2,0004(brokerage business),14915,462,2,0049(brokerage business),10312,650
3,0163(brokerage business),5528,1740,3,0163(brokerage business),6388,353,3,0004(brokerage business),8098,-655
4,0308(brokerage business),3246,1111,4,0272(brokerage business),5364,528,4,0009(brokerage business),7198,234
5,0253(brokerage business),2697,202,5,0239(brokerage business),5044,554,5,0042(brokerage business),6524,524
6,0049(brokerage business),1964,674,6,0049(brokerage business),4913,64,6,0272(brokerage business),6327,106
7,0178(brokerage business),1685,419,7,0268(brokerage business),3410,35,7,0163(brokerage business),6238,109
8,0272(brokerage business),1660,234,8,0003(brokerage business),3356,-68,8,0372(brokerage business),6233,15
9,0042(brokerage business),1324,844,9,0082(brokerage business),2879,147,9,0125(brokerage business),3664,20
10,0069(brokerage business),1213,-308,10,0103(brokerage business),2723,-29,10,0069(brokerage business),3293,284
11,0275(brokerage business),1211,102,11,0253(brokerage business),2638,132,11,0003(brokerage business),2926,-50
12,0240(brokerage business),1149,131,12,0125(brokerage business),2467,-30,12,0169(brokerage business),2478,73
13,0025(brokerage business),1042,-179,13,0323(brokerage business),1954,75,13,0321(brokerage business),2079,246
14,0123(brokerage business),1011,-555,14,0240(brokerage business),1920,141,14,0025(brokerage business),1867,203
15,0077(brokerage business),999,369,15,0077(brokerage business),1876,450,15,0138(brokerage business),1783,37
16,0096(brokerage business),929,-83,16,0096(brokerage business),1797,-135,16,0082(brokerage business),1663,-9
17,0081(brokerage business),871,258,17,0042(brokerage business),1726,300,17,0308(brokerage business),1627,485
18,0019(brokerage business),865,156,18,0274(brokerage business),1726,91,18,0088(brokerage business),1572,159
19,0274(brokerage business),800,327,19,0034(brokerage business),1713,6,19,0139(brokerage business),1568,137
20,0088(brokerage business),787,600,20,0025(brokerage business),1643,527,20,0253(brokerage business),1549,-51
Total,,47807,13081,Total,,86798,3453,Total,,94622,2666
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2608,,,,,,,,,,2026-05-07,
1,0004(brokerage business),3317,1418,1,0148(brokerage business),6060,572,1,0004(brokerage business),8429,96
2,0308(brokerage business),2020,1213,2,0004(brokerage business),4121,131,2,0148(brokerage business),7216,123
3,0148(brokerage business),1917,49,3,0163(brokerage business),3179,1,3,0272(brokerage business),3302,-8
4,0163(brokerage business),1640,527,4,0003(brokerage business),2731,0,4,0042(brokerage business),2953,-84
5,0253(brokerage business),1106,359,5,0272(brokerage business),2718,-131,5,0009(brokerage business),2807,-3
6,0088(brokerage business),778,440,6,0049(brokerage business),2308,0,6,0163(brokerage business),2446,7
7,0052(brokerage business),502,500,7,0069(brokerage business),2146,61,7,0169(brokerage business),2287,188
8,0259(brokerage business),486,135,8,0268(brokerage business),1529,3,8,0049(brokerage business),2074,72
9,0019(brokerage business),361,2,9,0088(brokerage business),1469,116,9,0372(brokerage business),1438,3
10,0333(brokerage business),342,341,10,0323(brokerage business),1305,3,10,0018(brokerage business),1103,15
11,0272(brokerage business),327,-24,11,0253(brokerage business),1137,217,11,0025(brokerage business),1099,1
12,0240(brokerage business),309,152,12,0338(brokerage business),1052,-1,12,0082(brokerage business),1040,174
13,0001(brokerage business),278,126,13,0031(brokerage business),963,2,13,0138(brokerage business),1019,18
14,0034(brokerage business),269,12,14,0178(brokerage business),929,14,14,0096(brokerage business),962,110
15,0009(brokerage business),261,217,15,0042(brokerage business),895,-44,15,0034(brokerage business),916,4
16,0082(brokerage business),251,200,16,0335(brokerage business),865,1,16,0125(brokerage business),740,2
17,0161(brokerage business),243,141,17,0103(brokerage business),766,-27,17,0157(brokerage business),709,1
18,0069(brokerage business),240,-9,18,0034(brokerage business),738,-137,18,0253(brokerage business),640,275
19,0096(brokerage business),225,-25,19,0096(brokerage business),669,-3,19,0261(brokerage business),504,0
20,0169(brokerage business),219,140,20,0254(brokerage business),658,-1,20,0244(brokerage business),493,2
Total,,15091,5914,Total,,36238,777,Total,,42177,996
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
