"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-24,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-24,,,,
Name of FF Member/OSBP,386211,49843,Name of FF Member/OSBP,553311,13891,Name of FF Member/OSBP,544067,13514,,,
Name of Non-FF Member/OSNBP,3169,501,Name of Non-FF Member/OSNBP,2392,168,Name of Non-FF Member/OSNBP,11636,545,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-08-24,
1,0163(brokerage business),22403,1998,1,0004(brokerage business),17059,-1006,1,0049(brokerage business),12862,-795
2,0148(brokerage business),20015,4046,2,0148(brokerage business),13128,-3535,2,0148(brokerage business),11692,-681
3,0004(brokerage business),12399,699,3,0049(brokerage business),11277,-862,3,0004(brokerage business),6832,59
4,0049(brokerage business),9506,1802,4,0139(brokerage business),6456,1016,4,0163(brokerage business),5957,-1259
5,0272(brokerage business),4650,-1147,5,0163(brokerage business),5575,-1492,5,0272(brokerage business),4305,178
6,0308(brokerage business),4569,-129,6,0272(brokerage business),4621,-924,6,0321(brokerage business),4290,-501
7,0253(brokerage business),3473,-530,7,0025(brokerage business),4351,99,7,0009(brokerage business),4076,-1413
8,0096(brokerage business),3224,-1220,8,0103(brokerage business),3902,-1021,8,0253(brokerage business),3880,-370
9,0275(brokerage business),3125,-222,9,0077(brokerage business),3336,-19,9,0139(brokerage business),3415,-460
10,0009(brokerage business),3098,-183,10,0240(brokerage business),2845,-158,10,0169(brokerage business),3198,-192
11,0006(brokerage business),3047,1723,11,0253(brokerage business),2804,-466,11,0042(brokerage business),3191,349
12,0268(brokerage business),2684,-89,12,0009(brokerage business),2610,112,12,0315(brokerage business),3169,77
13,0034(brokerage business),2368,320,13,0321(brokerage business),2571,331,13,0003(brokerage business),2863,-827
14,0043(brokerage business),2056,-49,14,0082(brokerage business),2409,-89,14,0096(brokerage business),2828,-92
15,0240(brokerage business),2004,-202,15,0006(brokerage business),2329,1221,15,0240(brokerage business),2819,-230
16,0081(brokerage business),1999,-147,16,0003(brokerage business),2142,-68,16,0058(brokerage business),2786,-522
17,0082(brokerage business),1927,-128,17,0125(brokerage business),2053,230,17,0081(brokerage business),2538,452
18,0103(brokerage business),1911,575,18,0042(brokerage business),1897,-137,18,0082(brokerage business),2463,-319
19,0139(brokerage business),1887,1418,19,0059(brokerage business),1739,146,19,0018(brokerage business),2285,180
20,0058(brokerage business),1836,611,20,0161(brokerage business),1701,-42,20,0025(brokerage business),2125,66
Total,,108181,9146,Total,,94805,-6664,Total,,87574,-6300
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-08-24,
1,0148(brokerage business),18206,3590,1,0148(brokerage business),34041,1781,1,0148(brokerage business),16849,-143
2,0163(brokerage business),17837,219,2,0004(brokerage business),21888,3546,2,0004(brokerage business),15386,-1
3,0004(brokerage business),16265,1880,3,0272(brokerage business),9117,90,3,0049(brokerage business),13065,1766
4,0308(brokerage business),4968,-417,4,0163(brokerage business),8800,1980,4,0139(brokerage business),12658,1693
5,0253(brokerage business),3932,356,5,0103(brokerage business),8416,490,5,0163(brokerage business),9705,15
6,0049(brokerage business),3860,904,6,0268(brokerage business),5114,658,6,0009(brokerage business),9025,505
7,0096(brokerage business),3770,1255,7,0335(brokerage business),4048,-64,7,0082(brokerage business),7257,1574
8,0272(brokerage business),3509,95,8,0239(brokerage business),3981,-854,8,0272(brokerage business),4836,425
9,0034(brokerage business),3341,1157,9,0049(brokerage business),3795,48,9,0315(brokerage business),4660,0
10,0042(brokerage business),3327,1385,10,0253(brokerage business),3784,326,10,0042(brokerage business),4475,-1795
11,0082(brokerage business),3212,1728,11,0125(brokerage business),3439,352,11,0096(brokerage business),4199,146
12,0275(brokerage business),2933,-1240,12,0240(brokerage business),3402,460,12,0069(brokerage business),4045,106
13,0067(brokerage business),2592,1966,13,0096(brokerage business),2958,570,13,0321(brokerage business),3753,579
14,0006(brokerage business),2555,2196,14,0275(brokerage business),2753,135,14,0025(brokerage business),3467,519
15,0240(brokerage business),2432,219,15,0042(brokerage business),2729,244,15,0125(brokerage business),3417,109
16,0123(brokerage business),2152,559,16,0077(brokerage business),2446,43,16,0169(brokerage business),3175,62
17,0239(brokerage business),2098,195,17,0161(brokerage business),2433,386,17,0058(brokerage business),3162,922
18,0139(brokerage business),2070,1005,18,0082(brokerage business),2393,310,18,0034(brokerage business),3156,9
19,0259(brokerage business),1991,-833,19,0323(brokerage business),2323,146,19,0372(brokerage business),3107,-282
