"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-16,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-16,,,,
Name of FF Member/OSBP,292291,-132693,Name of FF Member/OSBP,520218,-14836,Name of FF Member/OSBP,511134,-13913,,,
Name of Non-FF Member/OSNBP,4275,1737,Name of Non-FF Member/OSNBP,3702,-188,Name of Non-FF Member/OSNBP,12786,-1111,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-09-16,
1,0163(brokerage business),19523,-5491,1,0148(brokerage business),18548,-880,1,0148(brokerage business),17786,-2210
2,0148(brokerage business),18203,-11055,2,0004(brokerage business),18187,-2337,2,0049(brokerage business),10756,-1231
3,0004(brokerage business),13509,-2197,3,0049(brokerage business),15412,-268,3,0163(brokerage business),10688,-1742
4,0049(brokerage business),8373,-2018,4,0272(brokerage business),8344,-405,4,0139(brokerage business),8454,-470
5,0272(brokerage business),6332,-3282,5,0163(brokerage business),6072,-1008,5,0004(brokerage business),8400,-982
6,0096(brokerage business),5589,-2373,6,0077(brokerage business),4902,-38,6,0009(brokerage business),7478,-229
7,0253(brokerage business),4599,-1950,7,0103(brokerage business),4314,-2543,7,0025(brokerage business),6047,444
8,0308(brokerage business),4545,-1365,8,0253(brokerage business),3877,-403,8,0082(brokerage business),5980,-312
9,0034(brokerage business),4349,-3163,9,0240(brokerage business),3501,-605,9,0321(brokerage business),5444,-258
10,0275(brokerage business),3758,-1882,10,0268(brokerage business),3407,-96,10,0240(brokerage business),3911,-141
11,0103(brokerage business),3501,1580,11,0321(brokerage business),3350,41,11,0272(brokerage business),3703,-157
12,0240(brokerage business),3462,89,12,0096(brokerage business),3051,155,12,0315(brokerage business),3641,-191
13,0315(brokerage business),2802,734,13,0042(brokerage business),2641,206,13,0253(brokerage business),3627,-276
14,0123(brokerage business),2650,-1083,14,0003(brokerage business),2300,-377,14,0058(brokerage business),3078,-693
15,0058(brokerage business),2546,690,15,0034(brokerage business),2093,-57,15,0169(brokerage business),3052,-207
16,0081(brokerage business),2316,-1238,16,0338(brokerage business),2013,-24,16,0096(brokerage business),2967,-272
17,0268(brokerage business),2178,-960,17,0136(brokerage business),2001,-173,17,0034(brokerage business),2800,-152
18,0042(brokerage business),2042,-627,18,0081(brokerage business),1930,-372,18,0308(brokerage business),2718,-748
19,0043(brokerage business),1912,200,19,0323(brokerage business),1914,-258,19,0018(brokerage business),2444,20
20,0025(brokerage business),1669,132,20,0308(brokerage business),1904,-285,20,0081(brokerage business),2426,-416
Total,,113858,-35259,Total,,109761,-9727,Total,,115400,-10223
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-09-16,
1,0004(brokerage business),9549,1478,1,0148(brokerage business),21966,192,1,0148(brokerage business),16166,342
2,0163(brokerage business),8709,-3004,2,0004(brokerage business),9635,-527,2,0004(brokerage business),15216,228
3,0148(brokerage business),7790,-8009,3,0272(brokerage business),8269,-253,3,0049(brokerage business),9359,-428
4,0272(brokerage business),4475,-2698,4,0239(brokerage business),6039,-239,4,0163(brokerage business),5501,-203
5,0096(brokerage business),3539,-1309,5,0003(brokerage business),5010,252,5,0315(brokerage business),5254,-33
6,0275(brokerage business),3387,529,6,0049(brokerage business),4952,977,6,0272(brokerage business),4218,-78
7,0308(brokerage business),2892,-1192,7,0163(brokerage business),4808,-528,7,0009(brokerage business),3952,39
8,0253(brokerage business),2381,269,8,0259(brokerage business),3444,-546,8,0042(brokerage business),3857,-833
9,0049(brokerage business),1727,-376,9,0034(brokerage business),3200,36,9,0321(brokerage business),3669,334
10,0042(brokerage business),1677,243,10,0268(brokerage business),3039,-165,10,0253(brokerage business),3483,158
11,0372(brokerage business),1434,-981,11,0308(brokerage business),2761,-300,11,0139(brokerage business),3303,15
12,0059(brokerage business),1103,-212,12,0125(brokerage business),2407,-156,12,0069(brokerage business),3212,28
13,0320(brokerage business),1097,211,13,0123(brokerage business),2326,146,13,0067(brokerage business),2818,20
14,0240(brokerage business),1084,-232,14,0323(brokerage business),2308,-29,14,0082(brokerage business),2700,-12
15,0178(brokerage business),1017,31,15,0385(brokerage business),2301,194,15,0169(brokerage business),2466,6
16,0019(brokerage business),963,148,16,0253(brokerage business),2293,165,16,0034(brokerage business),2273,98
17,0077(brokerage business),932,168,17,0178(brokerage business),2140,77,17,0177(brokerage business),2220,59
18,0058(brokerage business),915,388,18,0103(brokerage business),2133,51,18,0240(brokerage business),2216,424
