"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-08,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
6,0333(brokerage business),1614,949,6,0103(brokerage business),3007,123,6,0125(brokerage business),3330,223
7,0096(brokerage business),1375,89,7,0272(brokerage business),2863,243,7,0169(brokerage business),2998,7
8,0275(brokerage business),1128,633,8,0163(brokerage business),2260,300,8,0034(brokerage business),2850,10
9,0253(brokerage business),899,411,9,0042(brokerage business),2190,-137,9,0082(brokerage business),2469,5
10,0240(brokerage business),809,493,10,0323(brokerage business),2144,210,10,0163(brokerage business),2432,38
11,0259(brokerage business),776,584,11,0178(brokerage business),2095,-79,11,0067(brokerage business),2076,504
12,0067(brokerage business),749,509,12,0081(brokerage business),2080,97,12,0042(brokerage business),1906,63
13,0042(brokerage business),614,319,13,0031(brokerage business),2053,5,13,0253(brokerage business),1694,22
14,0268(brokerage business),509,394,14,0077(brokerage business),1982,-7,14,0025(brokerage business),1668,36
15,0003(brokerage business),488,-70,15,0034(brokerage business),1765,-109,15,0372(brokerage business),1643,21
16,0123(brokerage business),479,101,16,0069(brokerage business),1686,28,16,0069(brokerage business),1380,67
17,0178(brokerage business),467,-28,17,0025(brokerage business),1649,-5,17,0240(brokerage business),1329,68
18,0069(brokerage business),407,-55,18,0007(brokerage business),1474,-26,18,0139(brokerage business),1189,2
19,0081(brokerage business),397,195,19,0253(brokerage business),1421,157,19,0333(brokerage business),1164,148
20,0059(brokerage business),387,282,20,0338(brokerage business),1407,-61,20,0003(brokerage business),1070,31
Total,,25605,9480,Total,,51972,857,Total,,65736,1897
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2701,,,,,,,,,,2026-09-08,
1,0163(brokerage business),2256,652,1,0148(brokerage business),3516,34,1,0148(brokerage business),11677,41
2,0004(brokerage business),2080,1580,2,0049(brokerage business),2704,-4,2,0049(brokerage business),5345,-143
3,0096(brokerage business),1369,278,3,0004(brokerage business),2697,-203,3,0272(brokerage business),5099,60
4,0333(brokerage business),1199,558,4,0136(brokerage business),2142,1,4,0184(brokerage business),1500,0
5,0272(brokerage business),710,233,5,0069(brokerage business),1882,23,5,0067(brokerage business),1426,8
6,0148(brokerage business),709,367,6,0034(brokerage business),1739,-103,6,0103(brokerage business),1119,-329
7,0103(brokerage business),456,407,7,0323(brokerage business),1542,-6,7,0240(brokerage business),1097,120
8,0240(brokerage business),421,306,8,0163(brokerage business),1402,34,8,0042(brokerage business),1017,5
9,0275(brokerage business),413,170,9,0031(brokerage business),1273,0,9,0372(brokerage business),950,4
10,0049(brokerage business),361,315,10,0333(brokerage business),1263,-2,10,0169(brokerage business),779,37
11,0123(brokerage business),357,269,11,0103(brokerage business),1123,-31,11,0163(brokerage business),694,-52
12,0069(brokerage business),303,204,12,0272(brokerage business),963,-174,12,0077(brokerage business),573,6
13,0034(brokerage business),276,-42,13,0274(brokerage business),883,14,13,0082(brokerage business),556,0
14,0308(brokerage business),227,99,14,0177(brokerage business),853,0,14,0025(brokerage business),516,1
15,0268(brokerage business),198,115,15,0096(brokerage business),841,-217,15,0004(brokerage business),492,-511
16,0125(brokerage business),178,93,16,0178(brokerage business),813,31,16,0096(brokerage business),479,54
17,0178(brokerage business),172,157,17,0077(brokerage business),733,-5,17,0009(brokerage business),473,1
18,0161(brokerage business),164,119,18,0339(brokerage business),685,0,18,0018(brokerage business),458,3
19,0312(brokerage business),137,109,19,0268(brokerage business),609,53,19,0333(brokerage business),408,27
20,0253(brokerage business),117,23,20,0042(brokerage business),598,48,20,0034(brokerage business),361,17
Total,,12103,6012,Total,,28261,-507,Total,,35019,-651
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2702,,,,,,,,,,2026-09-08,
1,0163(brokerage business),379,-132,1,0004(brokerage business),2646,-64,1,0148(brokerage business),6607,-10
2,0333(brokerage business),269,32,2,0272(brokerage business),2035,22,2,0004(brokerage business),2262,-22
3,0004(brokerage business),244,-61,3,0148(brokerage business),1802,27,3,0025(brokerage business),1953,1
4,0240(brokerage business),181,-24,4,0069(brokerage business),1257,0,4,0333(brokerage business),1100,58
5,0148(brokerage business),167,97,5,0049(brokerage business),950,29,5,0103(brokerage business),1052,1
6,0178(brokerage business),161,47,6,0323(brokerage business),884,4,6,0042(brokerage business),823,0
7,0272(brokerage business),123,-30,7,0031(brokerage business),855,0,7,0067(brokerage business),677,1
8,0049(brokerage business),99,66,8,0139(brokerage business),698,0,8,0163(brokerage business),638,-89
9,0123(brokerage business),79,58,9,0178(brokerage business),602,121,9,0077(brokerage business),440,4
10,0259(brokerage business),73,30,10,0034(brokerage business),477,20,10,0049(brokerage business),294,16
11,0171(brokerage business),59,17,11,0081(brokerage business),437,5,11,0096(brokerage business),221,0
12,0308(brokerage business),57,10,12,0268(brokerage business),360,8,12,0253(brokerage business),183,3
13,0034(brokerage business),53,53,13,0003(brokerage business),359,1,13,0272(brokerage business),153,-5
14,0253(brokerage business),50,-10,14,0161(brokerage business),356,-2,14,0059(brokerage business),148,0
15,0186(brokerage business),47,-47,15,0253(brokerage business),318,7,15,0008(brokerage business),131,0
16,0169(brokerage business),40,20,16,0103(brokerage business),302,0,16,0034(brokerage business),129,1
17,0088(brokerage business),32,-8,17,0008(brokerage business),277,8,17,0323(brokerage business),127,2
18,0081(brokerage business),31,-18,18,0042(brokerage business),254,0,18,0161(brokerage business),115,0
19,0268(brokerage business),24,6,19,0169(brokerage business),249,-40,19,0269(brokerage business),101,0
20,0069(brokerage business),22,19,20,0333(brokerage business),232,1,20,0240(brokerage business),92,2
Total,,2190,125,Total,,15350,147,Total,,17246,-37
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2703,,,,,,,,,,2026-09-08,
1,0163(brokerage business),1399,1037,1,0323(brokerage business),2092,0,1,0148(brokerage business),10320,18
2,0272(brokerage business),615,239,2,0148(brokerage business),1940,-60,2,0049(brokerage business),2451,21
3,0333(brokerage business),560,235,3,0272(brokerage business),1717,-105,3,0004(brokerage business),2359,-20
4,0004(brokerage business),547,254,4,0049(brokerage business),1691,15,4,0077(brokerage business),2080,0
5,0034(brokerage business),386,367,5,0069(brokerage business),1536,-12,5,0422(brokerage business),1040,0
6,0148(brokerage business),300,221,6,0333(brokerage business),1221,-38,6,0323(brokerage business),1023,0
7,0240(brokerage business),131,33,7,0136(brokerage business),1133,6,7,0067(brokerage business),1003,0
8,0123(brokerage business),121,97,8,0339(brokerage business),1087,0,8,0103(brokerage business),855,3
9,0081(brokerage business),110,70,9,0003(brokerage business),976,0,9,0042(brokerage business),626,-15
10,0018(brokerage business),104,102,10,0004(brokerage business),900,297,10,0163(brokerage business),529,-396
11,0259(brokerage business),79,36,11,0034(brokerage business),866,-341,11,0269(brokerage business),233,0
12,0096(brokerage business),75,72,12,0031(brokerage business),852,0,12,0333(brokerage business),195,18
13,0049(brokerage business),68,44,13,0338(brokerage business),782,0,13,0240(brokerage business),124,2
14,0186(brokerage business),66,-162,14,0163(brokerage business),683,85,14,0123(brokerage business),115,43
15,0095(brokerage business),54,13,15,0268(brokerage business),668,8,15,0096(brokerage business),114,33
16,0275(brokerage business),54,21,16,0253(brokerage business),563,0,16,0272(brokerage business),111,68
17,0313(brokerage business),50,40,17,0372(brokerage business),524,0,17,0008(brokerage business),103,0
18,0069(brokerage business),42,34,18,0042(brokerage business),438,-2,18,0253(brokerage business),99,3
19,0088(brokerage business),42,22,19,0169(brokerage business),306,0,19,0268(brokerage business),84,2
20,0178(brokerage business),42,41,20,0161(brokerage business),298,-1,20,0274(brokerage business),84,0
Total,,4845,2816,Total,,20273,-148,Total,,23548,-220
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2609,,,,,,,,,,2026-09-08,
1,8148(brokerage business),25,20,1,8240(brokerage business),525,25,1,8009(brokerage business),370,0
2,8240(brokerage business),25,25,2,8049(brokerage business),135,0,2,8274(brokerage business),215,0
3,8051(brokerage business),10,5,3,8253(brokerage business),135,0,3,8096(brokerage business),190,0
4,8123(brokerage business),10,5,4,8148(brokerage business),120,-20,4,8240(brokerage business),140,0
5,8151(brokerage business),5,0,5,8161(brokerage business),90,0,5,8049(brokerage business),80,0
6,8311(brokerage business),5,5,6,8051(brokerage business),5,-5,6,8253(brokerage business),15,0
7,,,,7,8311(brokerage business),5,5,7,8148(brokerage business),5,5
Total,,80,60,Total,,1015,5,Total,,1015,5
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2610,,,,,,,,,,2026-09-08,
1,8163(brokerage business),3409,1180,1,8004(brokerage business),3443,33,1,8148(brokerage business),3563,187
2,8148(brokerage business),1892,429,2,8148(brokerage business),2412,111,2,8004(brokerage business),3548,14
3,8253(brokerage business),1604,778,3,8239(brokerage business),1436,64,3,8025(brokerage business),1079,300
4,8004(brokerage business),1397,530,4,8184(brokerage business),998,52,4,8081(brokerage business),806,-3
5,8081(brokerage business),551,196,5,8081(brokerage business),913,36,5,8161(brokerage business),779,29
6,8096(brokerage business),486,46,6,8163(brokerage business),889,211,6,8240(brokerage business),748,95
7,8123(brokerage business),399,306,7,8103(brokerage business),799,9,7,8103(brokerage business),734,2
8,8272(brokerage business),381,70,8,8161(brokerage business),717,2,8,8163(brokerage business),683,82
9,8239(brokerage business),310,86,9,8082(brokerage business),581,26,9,8049(brokerage business),588,36
10,8025(brokerage business),300,299,10,8323(brokerage business),526,6,10,8082(brokerage business),527,19
11,8308(brokerage business),277,95,11,8253(brokerage business),439,35,11,8323(brokerage business),478,0
12,8082(brokerage business),269,160,12,8048(brokerage business),328,1,12,8009(brokerage business),336,12
13,8161(brokerage business),231,94,13,8084(brokerage business),272,-75,13,8048(brokerage business),308,-2
14,8240(brokerage business),200,137,14,8272(brokerage business),236,28,14,8051(brokerage business),304,0
15,8048(brokerage business),153,37,15,8333(brokerage business),183,6,15,8308(brokerage business),209,59
16,8103(brokerage business),129,49,16,8001(brokerage business),152,6,16,8253(brokerage business),200,-5
17,8009(brokerage business),128,59,17,8157(brokerage business),118,100,17,8123(brokerage business),199,109
18,8084(brokerage business),117,53,18,8311(brokerage business),108,26,18,8034(brokerage business),194,12
19,8157(brokerage business),100,100,19,8038(brokerage business),97,41,19,8003(brokerage business),144,0
20,8153(brokerage business),99,40,20,8259(brokerage business),91,6,20,8139(brokerage business),102,1
Total,,12432,4744,Total,,14738,724,Total,,15529,947
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：alall,,,,,,,2026-09-08,,,,
Name of FF Member/OSBP,465672,42158,Name of FF Member/OSBP,628099,4958,Name of FF Member/OSBP,620767,3382,,,
Name of Non-FF Member/OSNBP,1576,1276,Name of Non-FF Member/OSNBP,0,0,Name of Non-FF Member/OSNBP,7332,1576,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2609,,,,,,,,,,2026-09-08,
1,0148(brokerage business),2260,40,1,0148(brokerage business),6040,-545,1,0004(brokerage business),5175,-630
2,0275(brokerage business),1950,570,2,0004(brokerage business),2260,-240,2,0139(brokerage business),1670,-535
3,0163(brokerage business),1760,-850,3,0139(brokerage business),1875,-340,3,0148(brokerage business),1355,-1605
4,0139(brokerage business),1105,345,4,0058(brokerage business),1380,-40,4,0240(brokerage business),1190,-255
5,0004(brokerage business),1080,15,5,0034(brokerage business),1265,-120,5,0268(brokerage business),925,-100
6,0077(brokerage business),850,770,6,0049(brokerage business),1010,15,6,0043(brokerage business),790,175
7,0153(brokerage business),775,765,7,0125(brokerage business),800,-200,7,0163(brokerage business),545,-5
8,0003(brokerage business),695,-40,8,0137(brokerage business),630,0,8,0019(brokerage business),540,-60
9,0123(brokerage business),680,-180,9,0003(brokerage business),620,-640,9,0123(brokerage business),535,-55
10,0254(brokerage business),360,360,10,0272(brokerage business),490,-55,10,0321(brokerage business),530,0
11,0049(brokerage business),330,-45,11,0123(brokerage business),475,-25,11,0042(brokerage business),485,-25
12,0253(brokerage business),330,-205,12,0031(brokerage business),460,-40,12,0308(brokerage business),470,-10
13,0271(brokerage business),330,-630,13,0043(brokerage business),270,0,13,0049(brokerage business),445,-275
14,0240(brokerage business),305,195,14,0007(brokerage business),260,-10,14,0161(brokerage business),445,0
15,0006(brokerage business),300,-600,15,0047(brokerage business),260,0,15,0299(brokerage business),385,-40
16,0103(brokerage business),270,120,16,0253(brokerage business),245,-30,16,0048(brokerage business),375,130
17,0125(brokerage business),250,225,17,0018(brokerage business),200,-5,17,0003(brokerage business),340,-55
18,0186(brokerage business),250,250,18,0103(brokerage business),200,-60,18,0069(brokerage business),325,-35
19,0019(brokerage business),220,30,19,0059(brokerage business),185,-100,19,0007(brokerage business),320,0
20,0069(brokerage business),195,140,20,0262(brokerage business),160,0,20,0052(brokerage business),310,-100
Total,,14295,1275,Total,,19085,-2435,Total,,17155,-3480
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2610,,,,,,,,,,2026-09-08,
1,0148(brokerage business),40078,-3162,1,0148(brokerage business),32216,-52,1,0148(brokerage business),38888,184
2,0004(brokerage business),39271,-1677,2,0004(brokerage business),30442,1500,2,0004(brokerage business),26879,-943
3,0163(brokerage business),30590,-4745,3,0163(brokerage business),16573,719,3,0123(brokerage business),23044,686
4,0275(brokerage business),26179,178,4,0253(brokerage business),9140,161,4,0272(brokerage business),13844,-292
5,0081(brokerage business),12669,-1859,5,0272(brokerage business),8386,-127,5,0253(brokerage business),10853,65
6,0253(brokerage business),11789,852,6,0034(brokerage business),7615,410,6,0163(brokerage business),9129,-2009
7,0272(brokerage business),8254,-914,7,0103(brokerage business),7523,-122,7,0275(brokerage business),8879,338
8,0240(brokerage business),5975,-4,8,0335(brokerage business),7387,-1027,8,0034(brokerage business),7040,-46
9,0323(brokerage business),4242,1574,9,0069(brokerage business),5755,874,9,0268(brokerage business),6951,466
10,0308(brokerage business),3511,1517,10,0323(brokerage business),5691,288,10,0240(brokerage business),6637,206
11,0123(brokerage business),3220,367,11,0161(brokerage business),5341,807,11,0058(brokerage business),5722,22
12,0034(brokerage business),3178,-873,12,0240(brokerage business),4538,149,12,0139(brokerage business),5685,687
13,0161(brokerage business),3117,-22,13,0288(brokerage business),4344,419,13,0323(brokerage business),5475,-202
14,0069(brokerage business),3067,1212,14,0123(brokerage business),4255,-50,14,0008(brokerage business),3988,6
15,0268(brokerage business),2926,117,15,0268(brokerage business),4197,-21,15,0372(brokerage business),3926,376
16,0049(brokerage business),2623,1786,16,0042(brokerage business),3834,-211,16,0103(brokerage business),3864,-190
17,0096(brokerage business),2578,250,17,0096(brokerage business),3689,-144,17,0049(brokerage business),3413,360
18,0327(brokerage business),2431,1158,18,0082(brokerage business),3671,-6,18,0009(brokerage business),3115,-494
19,0103(brokerage business),2390,-627,19,0077(brokerage business),3505,40,19,0018(brokerage business),3042,48
20,0335(brokerage business),2357,676,20,0308(brokerage business),3434,-1393,20,0069(brokerage business),2872,119
Total,,210445,-4196,Total,,171536,2214,Total,,193246,-613
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2611,,,,,,,,,,2026-09-08,
1,0004(brokerage business),31238,11886,1,0148(brokerage business),25575,1137,1,0148(brokerage business),21581,1546
2,0148(brokerage business),19117,5549,2,0239(brokerage business),21830,874,2,0004(brokerage business),21508,-1854
3,0163(brokerage business),13286,-1804,3,0004(brokerage business),15478,948,3,0123(brokerage business),12661,311
4,0275(brokerage business),10123,4112,4,0163(brokerage business),11976,-380,4,0058(brokerage business),12397,298
5,0253(brokerage business),6887,1572,5,0272(brokerage business),9254,543,5,0103(brokerage business),9004,1049
6,0081(brokerage business),2845,-380,6,0268(brokerage business),8881,-1513,6,0272(brokerage business),6673,982
7,0123(brokerage business),2658,979,7,0335(brokerage business),7899,1178,7,0308(brokerage business),6031,-54
8,0268(brokerage business),2616,2353,8,0034(brokerage business),7270,725,8,0139(brokerage business),5659,755
9,0240(brokerage business),2602,946,9,0077(brokerage business),4819,855,9,0096(brokerage business),5510,459
10,0069(brokerage business),2540,1268,10,0084(brokerage business),4040,133,10,0163(brokerage business),4452,194
11,0103(brokerage business),2336,584,11,0069(brokerage business),3568,27,11,0002(brokerage business),4176,0
12,0272(brokerage business),2091,1069,12,0323(brokerage business),3155,109,12,0239(brokerage business),4127,-234
13,0239(brokerage business),1894,-54,13,0253(brokerage business),2959,341,13,0240(brokerage business),4123,282
14,0161(brokerage business),1691,1513,14,0240(brokerage business),2620,210,14,0003(brokerage business),3405,98
15,0308(brokerage business),1664,931,15,0042(brokerage business),2389,190,15,0253(brokerage business),3271,190
16,0335(brokerage business),1653,552,16,0123(brokerage business),2255,143,16,0275(brokerage business),2984,49
17,0034(brokerage business),1592,686,17,0049(brokerage business),2194,-3,17,0323(brokerage business),2784,-206
18,0082(brokerage business),1452,1043,18,0008(brokerage business),2116,124,18,0008(brokerage business),2766,40
19,0048(brokerage business),1257,1111,19,0153(brokerage business),2043,-1,19,0029(brokerage business),2460,567
20,0274(brokerage business),1215,237,20,0184(brokerage business),1999,-201,20,0082(brokerage business),2428,-73
Total,,110757,34153,Total,,142320,5439,Total,,138000,4399
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2612,,,,,,,,,,2026-09-08,
