"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-08,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-08,,,,
Name of FF Member/OSBP,406658,147826,Name of FF Member/OSBP,587548,21430,Name of FF Member/OSBP,575622,20700,,,
Name of Non-FF Member/OSNBP,2630,-108,Name of Non-FF Member/OSNBP,3268,154,Name of Non-FF Member/OSNBP,15194,884,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-09-08,
1,0049(brokerage business),3705,140,1,0004(brokerage business),5720,-240,1,0049(brokerage business),4795,-450
2,0163(brokerage business),3540,785,2,0139(brokerage business),4480,-485,2,0315(brokerage business),3020,-530
3,0148(brokerage business),3515,-125,3,0148(brokerage business),4330,-175,3,0139(brokerage business),2165,-15
4,0240(brokerage business),2040,1255,4,0049(brokerage business),3645,-365,4,0025(brokerage business),1895,120
5,0272(brokerage business),1605,150,5,0272(brokerage business),1780,-315,5,0004(brokerage business),1640,-10
6,0321(brokerage business),1420,105,6,0321(brokerage business),1635,-65,6,0009(brokerage business),1440,-190
7,0315(brokerage business),1340,-1200,7,0006(brokerage business),1500,0,7,0069(brokerage business),1395,-145
8,0082(brokerage business),1280,515,8,0025(brokerage business),1210,-415,8,0148(brokerage business),1305,-590
9,0275(brokerage business),1140,-35,9,0163(brokerage business),1070,-85,9,0253(brokerage business),1260,-75
10,0004(brokerage business),1130,-200,10,0003(brokerage business),985,-120,10,0268(brokerage business),1205,5
11,0259(brokerage business),1100,640,11,0096(brokerage business),790,0,11,0058(brokerage business),1165,-360
12,0125(brokerage business),1040,295,12,0009(brokerage business),610,-425,12,0169(brokerage business),1135,-70
13,0025(brokerage business),945,395,13,0240(brokerage business),590,-780,13,0272(brokerage business),1015,150
14,0009(brokerage business),905,350,14,0077(brokerage business),540,-170,14,0042(brokerage business),915,5
15,0058(brokerage business),900,150,15,0311(brokerage business),535,0,15,0321(brokerage business),905,-1265
16,0096(brokerage business),835,220,16,0081(brokerage business),520,-20,16,0047(brokerage business),780,-250
17,0003(brokerage business),670,5,17,0082(brokerage business),515,-330,17,0096(brokerage business),730,-515
18,0034(brokerage business),625,435,18,0288(brokerage business),515,85,18,0003(brokerage business),710,-310
19,0069(brokerage business),545,280,19,0125(brokerage business),485,-970,19,0163(brokerage business),690,-455
20,0139(brokerage business),530,-360,20,0137(brokerage business),470,0,20,0081(brokerage business),675,-20
Total,,28810,3800,Total,,31925,-4875,Total,,28840,-4970
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-09-08,
1,0148(brokerage business),25769,6936,1,0148(brokerage business),28047,610,1,0148(brokerage business),19394,939
2,0163(brokerage business),24421,6833,2,0004(brokerage business),25230,1494,2,0049(brokerage business),17088,1125
3,0004(brokerage business),17044,7194,3,0163(brokerage business),12317,1172,3,0004(brokerage business),14192,-262
4,0272(brokerage business),6757,2576,4,0272(brokerage business),11361,804,4,0163(brokerage business),12012,573
5,0308(brokerage business),6742,2805,5,0103(brokerage business),7994,140,5,0139(brokerage business),11915,-247
6,0049(brokerage business),5862,3286,6,0253(brokerage business),6590,782,6,0009(brokerage business),9865,244
7,0253(brokerage business),5830,2350,7,0077(brokerage business),5735,385,7,0321(brokerage business),6879,1317
8,0096(brokerage business),5178,1791,8,0049(brokerage business),5650,-168,8,0082(brokerage business),6544,-901
9,0123(brokerage business),4553,2735,9,0240(brokerage business),4980,915,9,0058(brokerage business),6359,965
10,0268(brokerage business),4295,1622,10,0335(brokerage business),4531,-272,10,0025(brokerage business),5296,55
11,0275(brokerage business),4229,878,11,0034(brokerage business),4365,390,11,0272(brokerage business),5263,607
12,0240(brokerage business),3950,1539,12,0268(brokerage business),3849,434,12,0240(brokerage business),5081,506
13,0081(brokerage business),3802,1859,13,0096(brokerage business),3529,523,13,0042(brokerage business),4804,240
14,0034(brokerage business),3688,776,14,0323(brokerage business),3268,332,14,0034(brokerage business),4557,628
15,0274(brokerage business),3122,2048,15,0082(brokerage business),3216,166,15,0253(brokerage business),4097,375
16,0043(brokerage business),3044,2032,16,0042(brokerage business),3187,226,16,0006(brokerage business),3996,370
17,0082(brokerage business),2880,773,17,0059(brokerage business),3082,429,17,0125(brokerage business),3907,13
18,0067(brokerage business),2826,1294,18,0308(brokerage business),2928,51,18,0018(brokerage business),3810,347
19,0059(brokerage business),2717,1177,19,0125(brokerage business),2911,17,19,0096(brokerage business),3665,-227
20,0058(brokerage business),2578,1170,20,0161(brokerage business),2897,272,20,0081(brokerage business),3375,401
Total,,139287,51674,Total,,145667,8702,Total,,152099,7068
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-09-08,
1,0148(brokerage business),9350,2413,1,0148(brokerage business),20555,927,1,0148(brokerage business),12773,889
2,0004(brokerage business),8908,4152,2,0239(brokerage business),9881,845,2,0004(brokerage business),11450,237
3,0163(brokerage business),8557,2954,3,0004(brokerage business),9627,1015,3,0049(brokerage business),8186,374
4,0308(brokerage business),3782,1792,4,0272(brokerage business),7619,904,4,0315(brokerage business),6369,754
5,0123(brokerage business),2570,1076,5,0163(brokerage business),6284,685,5,0163(brokerage business),5644,660
6,0272(brokerage business),2514,1492,6,0268(brokerage business),5462,35,6,0372(brokerage business),5339,28
7,0253(brokerage business),2251,988,7,0049(brokerage business),3143,-33,7,0034(brokerage business),4947,127
8,0275(brokerage business),2227,800,8,0103(brokerage business),3113,613,8,0042(brokerage business),4396,187
9,0096(brokerage business),1691,898,9,0335(brokerage business),3105,252,9,0009(brokerage business),4259,257
10,0333(brokerage business),1486,905,10,0034(brokerage business),2649,19,10,0139(brokerage business),3139,445
11,0274(brokerage business),1479,766,11,0274(brokerage business),2485,375,11,0253(brokerage business),3072,89
12,0259(brokerage business),1177,610,12,0125(brokerage business),2235,284,12,0321(brokerage business),2844,91
13,0240(brokerage business),1164,615,13,0323(brokerage business),2158,-278,13,0069(brokerage business),2803,294
14,0034(brokerage business),1156,346,14,0385(brokerage business),1947,40,14,0272(brokerage business),2688,-160
15,0069(brokerage business),1155,773,15,0277(brokerage business),1904,-41,15,0169(brokerage business),2686,200
16,0081(brokerage business),1148,595,16,0178(brokerage business),1806,-62,16,0067(brokerage business),2377,-8
17,0239(brokerage business),1087,160,17,0123(brokerage business),1784,221,17,0025(brokerage business),2295,464
18,0323(brokerage business),1078,337,18,0240(brokerage business),1704,173,18,0138(brokerage business),1850,32
19,0268(brokerage business),1048,780,19,0253(brokerage business),1677,104,19,0082(brokerage business),1703,68
20,0082(brokerage business),1007,681,20,0308(brokerage business),1633,296,20,0108(brokerage business),1703,179
Total,,54835,23133,Total,,90771,6374,Total,,90523,5207
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2612,,,,,,,,,,2026-09-08,
1,0163(brokerage business),4778,1135,1,0148(brokerage business),6777,-100,1,0148(brokerage business),10600,-169
2,0004(brokerage business),3154,1080,2,0004(brokerage business),4749,101,2,0049(brokerage business),8925,23
3,0148(brokerage business),2657,555,3,0136(brokerage business),4006,-3,3,0004(brokerage business),8744,-199
4,0308(brokerage business),2024,905,4,0049(brokerage business),3225,23,4,0272(brokerage business),4863,27
5,0272(brokerage business),1894,999,5,0274(brokerage business),3139,97,5,0096(brokerage business),3406,970
