"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-15,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-15,,,,
Name of FF Member/OSBP,424984,-166,Name of FF Member/OSBP,535054,5231,Name of FF Member/OSBP,525047,6009,,,
Name of Non-FF Member/OSNBP,2538,-1482,Name of Non-FF Member/OSNBP,3890,254,Name of Non-FF Member/OSNBP,13897,-524,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-09-15,
1,0049(brokerage business),1620,-545,1,0148(brokerage business),1510,-5,1,0315(brokerage business),535,110
2,0272(brokerage business),365,-625,2,0004(brokerage business),860,-105,2,0025(brokerage business),400,-10
3,0169(brokerage business),310,50,3,0272(brokerage business),195,160,3,0139(brokerage business),395,0
4,0151(brokerage business),245,0,4,0049(brokerage business),145,-605,4,0004(brokerage business),365,90
5,0004(brokerage business),225,-2075,5,0323(brokerage business),100,0,5,0081(brokerage business),330,0
6,0077(brokerage business),225,25,6,0007(brokerage business),65,35,6,0082(brokerage business),265,30
7,0311(brokerage business),200,150,7,0077(brokerage business),30,-120,7,0047(brokerage business),185,-5
8,0025(brokerage business),195,-2355,8,0108(brokerage business),10,0,8,0049(brokerage business),140,-115
9,0123(brokerage business),170,105,9,0013(brokerage business),5,0,9,0003(brokerage business),65,-15
10,0240(brokerage business),160,-305,10,0137(brokerage business),5,0,10,0009(brokerage business),60,-30
11,0338(brokerage business),160,-35,11,,,,11,0148(brokerage business),55,-5
