"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-05-06,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-05-06,,,,
Name of FF Member/OSBP,237026,-114997,Name of FF Member/OSBP,523447,9940,Name of FF Member/OSBP,521002,9144,,,
Name of Non-FF Member/OSNBP,1184,-1965,Name of Non-FF Member/OSNBP,5797,-662,Name of Non-FF Member/OSNBP,8242,134,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2605,,,,,,,,,,2026-05-06,
1,0049(brokerage business),5240,-1775,1,0049(brokerage business),5785,-925,1,0049(brokerage business),5480,765
2,0148(brokerage business),3527,-1443,2,0148(brokerage business),4270,-446,2,0139(brokerage business),3610,-230
3,0163(brokerage business),2915,-2253,3,0004(brokerage business),4235,20,3,0009(brokerage business),2580,-135
4,0272(brokerage business),1550,-958,4,0025(brokerage business),3970,-1070,4,0148(brokerage business),2460,-231
5,0058(brokerage business),1535,741,5,0321(brokerage business),3295,-290,5,0272(brokerage business),1935,-230
6,0321(brokerage business),1460,587,6,0315(brokerage business),3005,-400,6,0082(brokerage business),1880,-360
7,0025(brokerage business),1435,-2,7,0009(brokerage business),1860,45,7,0004(brokerage business),1825,-155
8,0004(brokerage business),1425,-4451,8,0003(brokerage business),1460,-160,8,0321(brokerage business),1570,-460
9,0315(brokerage business),1115,-1645,9,0272(brokerage business),1145,180,9,0240(brokerage business),1460,85
10,0052(brokerage business),825,696,10,0043(brokerage business),855,-95,10,0034(brokerage business),1200,-365
11,0009(brokerage business),710,-239,11,0096(brokerage business),845,-446,11,0163(brokerage business),1130,-375
12,0096(brokerage business),691,67,12,0006(brokerage business),745,265,12,0096(brokerage business),1000,-35
13,0006(brokerage business),655,388,13,0333(brokerage business),700,-100,13,0048(brokerage business),985,55
14,0275(brokerage business),530,-261,14,0007(brokerage business),695,25,14,0081(brokerage business),945,-65
15,0069(brokerage business),520,49,15,0253(brokerage business),640,-70,15,0169(brokerage business),855,-40
16,0003(brokerage business),510,-269,16,0178(brokerage business),600,-5,16,0333(brokerage business),700,-100
17,0081(brokerage business),490,194,17,0069(brokerage business),555,-45,17,0042(brokerage business),690,-45
18,0323(brokerage business),460,-607,18,0163(brokerage business),505,80,18,0177(brokerage business),685,-20
19,0082(brokerage business),455,214,19,0042(brokerage business),455,-190,19,0058(brokerage business),655,-530
20,0042(brokerage business),415,-1383,20,0295(brokerage business),350,-10,20,0253(brokerage business),545,-120
Total,,26463,-12350,Total,,35970,-3637,Total,,32190,-2591
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2606,,,,,,,,,,2026-05-06,
1,0004(brokerage business),16235,-6355,1,0004(brokerage business),29162,1759,1,0148(brokerage business),18793,260
2,0163(brokerage business),12350,-4723,2,0148(brokerage business),23546,1939,2,0049(brokerage business),18680,640
3,0148(brokerage business),9855,-3841,3,0163(brokerage business),9903,1062,3,0272(brokerage business),14107,565
4,0253(brokerage business),5402,-3637,4,0103(brokerage business),9277,573,4,0004(brokerage business),13751,576
5,0272(brokerage business),4752,-1771,5,0272(brokerage business),5975,215,5,0009(brokerage business),8581,215
6,0308(brokerage business),3811,-761,6,0025(brokerage business),5602,-85,6,0163(brokerage business),7690,10
7,0123(brokerage business),3678,1148,7,0253(brokerage business),4818,186,7,0042(brokerage business),7403,-2
8,0081(brokerage business),2608,-534,8,0049(brokerage business),3598,-101,8,0315(brokerage business),6884,650
9,0275(brokerage business),2287,-438,9,0335(brokerage business),3595,273,9,0321(brokerage business),5069,335
10,0240(brokerage business),2282,-2692,10,0240(brokerage business),3568,443,10,0003(brokerage business),4486,441
11,0034(brokerage business),2236,23,11,0042(brokerage business),3456,-212,11,0253(brokerage business),4237,484
12,0049(brokerage business),2129,-2081,12,0161(brokerage business),3412,450,12,0139(brokerage business),4202,166
13,0103(brokerage business),1761,-709,13,0315(brokerage business),3114,-17,13,0018(brokerage business),4040,187
14,0096(brokerage business),1649,-2677,14,0081(brokerage business),3043,1020,14,0240(brokerage business),3908,-115
15,0323(brokerage business),1615,-531,15,0082(brokerage business),3025,-281,15,0082(brokerage business),3429,-51
16,0058(brokerage business),1577,-83,16,0136(brokerage business),2967,108,16,0058(brokerage business),3394,499
17,0268(brokerage business),1491,-1146,17,0034(brokerage business),2844,210,17,0034(brokerage business),3341,514
18,0042(brokerage business),1410,-2212,18,0323(brokerage business),2673,198,18,0169(brokerage business),3206,104
19,0069(brokerage business),1318,-283,19,0096(brokerage business),2621,44,19,0108(brokerage business),2834,8
20,0161(brokerage business),1314,119,20,0308(brokerage business),2573,498,20,0308(brokerage business),2770,353
Total,,79760,-33184,Total,,128772,8282,Total,,140805,5839
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2607,,,,,,,,,,2026-05-06,
1,0004(brokerage business),7636,-627,1,0148(brokerage business),18496,389,1,0148(brokerage business),17474,-64
2,0148(brokerage business),4151,-1234,2,0004(brokerage business),14453,751,2,0049(brokerage business),9662,441
3,0163(brokerage business),3788,-2206,3,0163(brokerage business),6035,335,3,0004(brokerage business),8753,-57
4,0253(brokerage business),2495,-215,4,0049(brokerage business),4849,151,4,0009(brokerage business),6964,348
5,0308(brokerage business),2135,-1389,5,0272(brokerage business),4836,56,5,0272(brokerage business),6221,-22
6,0123(brokerage business),1566,-190,6,0239(brokerage business),4490,643,6,0372(brokerage business),6218,-46
7,0069(brokerage business),1521,1061,7,0003(brokerage business),3424,-72,7,0163(brokerage business),6129,-61
8,0272(brokerage business),1426,107,8,0268(brokerage business),3375,84,8,0042(brokerage business),6000,151
9,0049(brokerage business),1290,-671,9,0103(brokerage business),2752,619,9,0125(brokerage business),3644,27
10,0277(brokerage business),1276,-132,10,0082(brokerage business),2732,32,10,0069(brokerage business),3009,606
11,0178(brokerage business),1266,975,11,0253(brokerage business),2506,52,11,0003(brokerage business),2976,-7
12,0025(brokerage business),1221,706,12,0125(brokerage business),2497,-272,12,0169(brokerage business),2405,-35
13,0275(brokerage business),1109,-83,13,0096(brokerage business),1932,-18,13,0321(brokerage business),1833,174
14,0240(brokerage business),1018,-69,14,0323(brokerage business),1879,87,14,0138(brokerage business),1746,-3
15,0096(brokerage business),1012,-93,15,0240(brokerage business),1779,223,15,0082(brokerage business),1672,-145
16,0103(brokerage business),951,592,16,0034(brokerage business),1707,-51,16,0025(brokerage business),1664,173
17,0009(brokerage business),847,-711,17,0069(brokerage business),1635,-23,17,0253(brokerage business),1600,55
18,0019(brokerage business),709,-769,18,0274(brokerage business),1635,38,18,0139(brokerage business),1431,15
19,0018(brokerage business),690,305,19,0275(brokerage business),1520,98,19,0088(brokerage business),1413,-77
20,0239(brokerage business),684,297,20,0178(brokerage business),1456,-655,20,0123(brokerage business),1226,44
Total,,36791,-4346,Total,,83988,2467,Total,,92040,1517
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2608,,,,,,,,,,2026-05-06,
1,0004(brokerage business),1899,-269,1,0148(brokerage business),5488,723,1,0004(brokerage business),8333,25
2,0148(brokerage business),1868,-1750,2,0004(brokerage business),3990,148,2,0148(brokerage business),7093,111
3,0163(brokerage business),1113,-699,3,0163(brokerage business),3178,-14,3,0272(brokerage business),3310,-31
4,0308(brokerage business),807,-173,4,0272(brokerage business),2849,76,4,0042(brokerage business),3037,10
5,0253(brokerage business),747,-426,5,0003(brokerage business),2731,0,5,0009(brokerage business),2810,40
6,0049(brokerage business),563,-185,6,0049(brokerage business),2308,40,6,0163(brokerage business),2439,-23
