"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-14,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-14,,,,
Name of FF Member/OSBP,425150,-374079,Name of FF Member/OSBP,529823,-16048,Name of FF Member/OSBP,519038,-15566,,,
Name of Non-FF Member/OSNBP,4020,-37,Name of Non-FF Member/OSNBP,3636,84,Name of Non-FF Member/OSNBP,14421,-398,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-09-14,
1,0025(brokerage business),2550,1165,1,0148(brokerage business),1515,-375,1,0315(brokerage business),425,-1190
2,0139(brokerage business),2410,20,2,0004(brokerage business),965,-1515,2,0025(brokerage business),410,-930
3,0004(brokerage business),2300,-1355,3,0049(brokerage business),750,-550,3,0139(brokerage business),395,-765
4,0163(brokerage business),2195,-2415,4,0077(brokerage business),150,-75,4,0081(brokerage business),330,-215
5,0049(brokerage business),2165,-3700,5,0338(brokerage business),150,-145,5,0169(brokerage business),310,-150
6,0315(brokerage business),1680,-920,6,0161(brokerage business),115,-5,6,0004(brokerage business),275,105
7,0081(brokerage business),1240,870,7,0323(brokerage business),100,0,7,0049(brokerage business),255,-385
8,0003(brokerage business),1070,410,8,0025(brokerage business),65,-370,8,0082(brokerage business),235,225
9,0321(brokerage business),1045,-660,9,0418(brokerage business),55,-35,9,0047(brokerage business),190,-75
10,0272(brokerage business),990,-2745,10,0048(brokerage business),50,-45,10,0096(brokerage business),155,-535
11,0096(brokerage business),920,-935,11,0008(brokerage business),40,0,11,0069(brokerage business),145,-75
12,0009(brokerage business),785,-355,12,0272(brokerage business),35,-110,12,0123(brokerage business),120,0
13,0082(brokerage business),685,-40,13,0007(brokerage business),30,-10,13,0077(brokerage business),105,-125
14,0006(brokerage business),560,-1235,14,0003(brokerage business),25,-840,14,0009(brokerage business),90,-745
15,0148(brokerage business),505,-1685,15,0139(brokerage business),15,-1085,15,0003(brokerage business),80,-40
16,0240(brokerage business),465,-805,16,0151(brokerage business),15,-10,16,0058(brokerage business),70,-255
17,0058(brokerage business),425,-355,17,0163(brokerage business),15,-350,17,0121(brokerage business),70,0
18,0125(brokerage business),385,-70,18,0295(brokerage business),15,-10,18,0148(brokerage business),60,-90
19,0042(brokerage business),335,-1040,19,0058(brokerage business),10,-40,19,0240(brokerage business),60,-55
20,0253(brokerage business),280,-430,20,0069(brokerage business),10,0,20,0088(brokerage business),55,-5
Total,,22990,-16280,Total,,4125,-5570,Total,,3835,-5305
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
