"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-11,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-11,,,,
Name of FF Member/OSBP,799229,404477,Name of FF Member/OSBP,545871,-51046,Name of FF Member/OSBP,534604,-49023,,,
Name of Non-FF Member/OSNBP,4057,149,Name of Non-FF Member/OSNBP,3552,-134,Name of Non-FF Member/OSNBP,14819,-2157,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-09-11,
1,0049(brokerage business),5865,2290,1,0004(brokerage business),2480,-1715,1,0315(brokerage business),1615,-665
2,0163(brokerage business),4610,1555,2,0148(brokerage business),1890,-1425,2,0025(brokerage business),1340,-570
3,0272(brokerage business),3735,1280,3,0049(brokerage business),1300,-1900,3,0139(brokerage business),1160,-310
4,0004(brokerage business),3655,2210,4,0139(brokerage business),1100,-1290,4,0009(brokerage business),835,-500
5,0315(brokerage business),2600,1345,5,0003(brokerage business),865,-95,5,0096(brokerage business),690,-220
6,0139(brokerage business),2390,475,6,0081(brokerage business),455,5,6,0049(brokerage business),640,-1805
7,0148(brokerage business),2190,460,7,0025(brokerage business),435,-445,7,0081(brokerage business),545,-75
8,0096(brokerage business),1855,1455,8,0315(brokerage business),410,315,8,0169(brokerage business),460,-500
9,0006(brokerage business),1795,1170,9,0321(brokerage business),390,-690,9,0058(brokerage business),325,-395
10,0321(brokerage business),1705,620,10,0163(brokerage business),365,-280,10,0272(brokerage business),275,-865
11,0025(brokerage business),1385,-90,11,0338(brokerage business),295,245,11,0042(brokerage business),265,-595
12,0042(brokerage business),1375,1095,12,0137(brokerage business),230,-240,12,0047(brokerage business),265,-55
13,0240(brokerage business),1270,765,13,0077(brokerage business),225,-155,13,0077(brokerage business),230,-165
14,0009(brokerage business),1140,575,14,0288(brokerage business),210,-300,14,0069(brokerage business),220,-545
15,0151(brokerage business),850,530,15,0006(brokerage business),170,-1095,15,0253(brokerage business),220,-495
16,0275(brokerage business),830,540,16,0272(brokerage business),145,-500,16,0321(brokerage business),220,-595
17,0169(brokerage business),815,585,17,0103(brokerage business),125,-225,17,0268(brokerage business),190,-625
18,0058(brokerage business),780,600,18,0161(brokerage business),120,-130,18,0043(brokerage business),175,160
19,0082(brokerage business),725,-70,19,0125(brokerage business),105,105,19,0004(brokerage business),170,-700
20,0253(brokerage business),710,290,20,0323(brokerage business),100,0,20,0148(brokerage business),150,-355
Total,,40280,17680,Total,,11415,-9815,Total,,9990,-9875
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-09-11,
1,0163(brokerage business),45677,21479,1,0148(brokerage business),26834,-1858,1,0148(brokerage business),18332,-1006
2,0148(brokerage business),40892,9809,2,0004(brokerage business),22701,-2621,2,0049(brokerage business),16203,-902
3,0004(brokerage business),32645,14903,3,0049(brokerage business),10431,3063,3,0163(brokerage business),13472,130
4,0272(brokerage business),22566,16247,4,0272(brokerage business),10216,-1736,4,0004(brokerage business),11282,-850
5,0253(brokerage business),15381,9711,5,0163(brokerage business),8527,-3675,5,0139(brokerage business),9084,-1586
6,0049(brokerage business),15039,7738,6,0103(brokerage business),7084,-1005,6,0009(brokerage business),8651,-972
7,0096(brokerage business),14712,7831,7,0253(brokerage business),5189,-1897,7,0058(brokerage business),5877,-1203
8,0275(brokerage business),13603,5516,8,0077(brokerage business),5112,-628,8,0321(brokerage business),5849,-785
9,0034(brokerage business),12497,6737,9,0268(brokerage business),3609,-256,9,0082(brokerage business),5773,335
10,0308(brokerage business),11502,4752,10,0082(brokerage business),3489,-48,10,0253(brokerage business),4506,86
11,0123(brokerage business),7595,3475,11,0240(brokerage business),3432,-2020,11,0272(brokerage business),4478,-852
12,0081(brokerage business),7479,3360,12,0335(brokerage business),3320,-1002,12,0240(brokerage business),4437,-650
13,0240(brokerage business),6708,3968,13,0096(brokerage business),2858,-249,13,0025(brokerage business),3982,-398
14,0042(brokerage business),5467,2890,14,0125(brokerage business),2855,-211,14,0034(brokerage business),3389,-1856
15,0268(brokerage business),4992,2173,15,0161(brokerage business),2773,-313,15,0308(brokerage business),3389,384
16,0009(brokerage business),4864,2069,16,0042(brokerage business),2693,-532,16,0081(brokerage business),3253,-245
17,0103(brokerage business),4739,1921,17,0081(brokerage business),2678,380,17,0125(brokerage business),3179,-638
18,0323(brokerage business),4440,2135,18,0308(brokerage business),2482,-590,18,0096(brokerage business),3143,-287
19,0043(brokerage business),4416,1862,19,0288(brokerage business),2417,130,19,0169(brokerage business),3098,-229
20,0082(brokerage business),4241,2092,20,0136(brokerage business),2386,-45,20,0042(brokerage business),2915,-1661
Total,,279455,130668,Total,,131086,-15113,Total,,134292,-13185
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-09-11,
1,0163(brokerage business),16598,7868,1,0148(brokerage business),24139,-1096,1,0004(brokerage business),14023,944
2,0148(brokerage business),15759,4001,2,0239(brokerage business),9845,-750,2,0148(brokerage business),12818,167
3,0004(brokerage business),14312,1662,3,0004(brokerage business),8992,-1068,3,0049(brokerage business),9854,-761
4,0272(brokerage business),10989,9133,4,0272(brokerage business),8822,909,4,0315(brokerage business),6086,-375
5,0308(brokerage business),10326,7020,5,0163(brokerage business),6557,-395,5,0163(brokerage business),6019,495
