"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-11,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
6,0096(brokerage business),6570,3035,6,0268(brokerage business),4462,-815,6,0372(brokerage business),5138,32
7,0275(brokerage business),6002,3205,7,0049(brokerage business),3854,876,7,0042(brokerage business),4830,366
8,0268(brokerage business),4036,2965,8,0003(brokerage business),3468,2299,8,0009(brokerage business),3905,-706
9,0123(brokerage business),3668,2662,9,0103(brokerage business),3004,-1042,9,0272(brokerage business),3873,1092
10,0240(brokerage business),3533,2057,10,0034(brokerage business),2762,159,10,0069(brokerage business),3615,139
11,0333(brokerage business),3355,1724,11,0259(brokerage business),2692,1236,11,0139(brokerage business),3365,71
12,0253(brokerage business),3311,1442,12,0308(brokerage business),2620,614,12,0253(brokerage business),3295,-128
13,0049(brokerage business),3089,1429,13,0178(brokerage business),2281,125,13,0321(brokerage business),3232,-54
14,0034(brokerage business),2966,2050,14,0323(brokerage business),2117,-84,14,0034(brokerage business),2701,-1543
15,0003(brokerage business),2581,2504,15,0385(brokerage business),2018,-62,15,0067(brokerage business),2576,128
16,0042(brokerage business),2391,1682,16,0253(brokerage business),2014,79,16,0169(brokerage business),2499,-169
17,0081(brokerage business),2261,1424,17,0335(brokerage business),1963,-929,17,0082(brokerage business),2455,152
18,0259(brokerage business),2259,838,18,0123(brokerage business),1934,51,18,0025(brokerage business),2368,-246
19,0239(brokerage business),2160,737,19,0274(brokerage business),1922,-597,19,0177(brokerage business),2077,-26
20,0009(brokerage business),2154,1236,20,0096(brokerage business),1863,429,20,0138(brokerage business),1845,-5
Total,,118320,58674,Total,,97329,-61,Total,,96574,-427
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2612,,,,,,,,,,2026-09-11,
1,0163(brokerage business),8754,5019,1,0148(brokerage business),7050,141,1,0148(brokerage business),9834,-585
2,0004(brokerage business),5967,3041,2,0004(brokerage business),4468,-750,2,0004(brokerage business),9395,569
3,0148(brokerage business),5710,3393,3,0136(brokerage business),4043,31,3,0049(brokerage business),8873,-273
4,0308(brokerage business),4335,2759,4,0272(brokerage business),3855,25,4,0272(brokerage business),4862,170
5,0272(brokerage business),3605,1947,5,0049(brokerage business),3253,102,5,0096(brokerage business),3921,212
6,0275(brokerage business),3268,1668,6,0103(brokerage business),3215,101,6,0125(brokerage business),3343,-50
7,0333(brokerage business),3042,1979,7,0274(brokerage business),3166,19,7,0163(brokerage business),3281,1302
8,0123(brokerage business),2513,1817,8,0163(brokerage business),2648,598,8,0034(brokerage business),3033,-13
9,0268(brokerage business),2171,1560,9,0268(brokerage business),2589,1077,9,0169(brokerage business),2433,-517
10,0240(brokerage business),1579,1193,10,0323(brokerage business),2450,325,10,0082(brokerage business),2227,-248
11,0042(brokerage business),1474,1214,11,0081(brokerage business),2201,111,11,0372(brokerage business),2179,35
12,0323(brokerage business),1273,840,12,0178(brokerage business),2072,-11,12,0067(brokerage business),2087,-2
13,0081(brokerage business),1210,750,13,0077(brokerage business),2033,23,13,0042(brokerage business),2047,68
14,0253(brokerage business),1147,480,14,0025(brokerage business),2029,121,14,0253(brokerage business),1673,-53
15,0178(brokerage business),1138,939,15,0042(brokerage business),1977,-314,15,0025(brokerage business),1489,-58
16,0259(brokerage business),969,467,16,0031(brokerage business),1964,-94,16,0308(brokerage business),1479,439
17,0019(brokerage business),937,515,17,0034(brokerage business),1768,17,17,0240(brokerage business),1333,-9
18,0096(brokerage business),921,450,18,0069(brokerage business),1638,24,18,0321(brokerage business),1289,302
19,0022(brokerage business),898,795,19,0253(brokerage business),1589,98,19,0139(brokerage business),1263,66
20,0169(brokerage business),859,800,20,0003(brokerage business),1526,132,20,0333(brokerage business),1229,341
Total,,51770,31626,Total,,55534,1776,Total,,67270,1696
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2701,,,,,,,,,,2026-09-11,
1,0163(brokerage business),4036,2285,1,0148(brokerage business),3732,139,1,0148(brokerage business),12528,735
2,0148(brokerage business),2246,1538,2,0049(brokerage business),2755,64,2,0049(brokerage business),5494,232
3,0333(brokerage business),2220,1424,3,0136(brokerage business),2137,13,3,0272(brokerage business),4813,65
4,0004(brokerage business),2032,1490,4,0004(brokerage business),2094,-688,4,0034(brokerage business),1757,470
5,0275(brokerage business),1400,940,5,0034(brokerage business),1782,29,5,0067(brokerage business),1422,-2
6,0253(brokerage business),1392,1037,6,0069(brokerage business),1772,22,6,0169(brokerage business),1114,138
7,0272(brokerage business),1138,625,7,0333(brokerage business),1596,170,7,0103(brokerage business),1112,-40
8,0184(brokerage business),1000,1000,8,0323(brokerage business),1531,-25,8,0042(brokerage business),1011,-12
9,0096(brokerage business),948,-69,9,0031(brokerage business),1278,4,9,0333(brokerage business),1005,490
10,0240(brokerage business),928,643,10,0163(brokerage business),1276,264,10,0372(brokerage business),965,10
11,0034(brokerage business),733,529,11,0103(brokerage business),1201,59,11,0163(brokerage business),876,106
12,0123(brokerage business),556,298,12,0272(brokerage business),954,-131,12,0077(brokerage business),570,-12
13,0308(brokerage business),428,363,13,0274(brokerage business),929,47,13,0082(brokerage business),566,9
14,0268(brokerage business),399,296,14,0239(brokerage business),890,7,14,0025(brokerage business),513,-6
15,0049(brokerage business),382,360,15,0177(brokerage business),854,1,15,0184(brokerage business),500,-1000
16,0069(brokerage business),367,75,16,0077(brokerage business),715,-17,16,0018(brokerage business),454,-11
17,0178(brokerage business),355,-126,17,0178(brokerage business),703,-144,17,0240(brokerage business),428,-47
18,0137(brokerage business),313,233,18,0042(brokerage business),692,24,18,0096(brokerage business),351,-197
19,0161(brokerage business),264,63,19,0339(brokerage business),685,0,19,0004(brokerage business),348,-38
20,0088(brokerage business),255,185,20,0003(brokerage business),623,64,20,0253(brokerage business),337,-12
Total,,21392,13189,Total,,28199,-98,Total,,36164,878
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2702,,,,,,,,,,2026-09-11,
1,0163(brokerage business),1340,1115,1,0004(brokerage business),2774,220,1,0148(brokerage business),6607,-14
2,0333(brokerage business),1012,777,2,0272(brokerage business),2133,-58,2,0004(brokerage business),2348,81
3,0004(brokerage business),703,322,3,0148(brokerage business),1830,11,3,0025(brokerage business),1951,-2
4,0240(brokerage business),651,446,4,0069(brokerage business),1306,56,4,0333(brokerage business),1203,132
5,0272(brokerage business),616,207,5,0323(brokerage business),987,56,5,0103(brokerage business),1049,-5
6,0049(brokerage business),370,283,6,0049(brokerage business),960,11,6,0042(brokerage business),856,29
7,0123(brokerage business),297,263,7,0031(brokerage business),951,96,7,0163(brokerage business),817,135
8,0148(brokerage business),277,205,8,0139(brokerage business),698,0,8,0067(brokerage business),677,0
9,0186(brokerage business),264,135,9,0034(brokerage business),541,58,9,0049(brokerage business),506,223
10,0178(brokerage business),254,218,10,0081(brokerage business),521,34,10,0077(brokerage business),457,16
11,0082(brokerage business),230,229,11,0178(brokerage business),496,-162,11,0272(brokerage business),217,116
12,0253(brokerage business),230,179,12,0103(brokerage business),403,95,12,0088(brokerage business),203,87
13,0088(brokerage business),215,188,13,0003(brokerage business),383,21,13,0082(brokerage business),202,199
14,0323(brokerage business),210,173,14,0161(brokerage business),353,-2,14,0253(brokerage business),195,15
15,0372(brokerage business),201,201,15,0253(brokerage business),329,57,15,0323(brokerage business),187,48
16,0177(brokerage business),200,200,16,0268(brokerage business),324,-42,16,0096(brokerage business),162,-59
17,0081(brokerage business),196,110,17,0163(brokerage business),297,127,17,0059(brokerage business),143,-5
18,0096(brokerage business),194,192,18,0333(brokerage business),272,26,18,0008(brokerage business),131,0
19,0308(brokerage business),123,87,19,0008(brokerage business),266,-20,19,0034(brokerage business),128,-4
20,0069(brokerage business),103,94,20,0042(brokerage business),254,0,20,0161(brokerage business),114,-1
Total,,7686,5624,Total,,16078,584,Total,,18153,991
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2703,,,,,,,,,,2026-09-11,
1,0163(brokerage business),2501,1946,1,0323(brokerage business),2192,47,1,0148(brokerage business),10393,56
2,0272(brokerage business),1483,1152,2,0148(brokerage business),2118,309,2,0049(brokerage business),2466,27
3,0333(brokerage business),1260,858,3,0049(brokerage business),1888,232,3,0004(brokerage business),2410,41
4,0004(brokerage business),946,676,4,0272(brokerage business),1751,-80,4,0077(brokerage business),2089,3
5,0148(brokerage business),857,644,5,0069(brokerage business),1469,-41,5,0422(brokerage business),1040,0
6,0372(brokerage business),574,568,6,0034(brokerage business),1196,326,6,0323(brokerage business),1018,-1
7,0240(brokerage business),371,288,7,0339(brokerage business),1087,0,7,0067(brokerage business),1004,0
8,0034(brokerage business),368,334,8,0136(brokerage business),1077,-51,8,0103(brokerage business),848,-14
9,0049(brokerage business),319,283,9,0333(brokerage business),1011,-171,9,0163(brokerage business),683,120
10,0186(brokerage business),298,190,10,0163(brokerage business),990,381,10,0272(brokerage business),644,461
11,0123(brokerage business),274,231,11,0003(brokerage business),988,12,11,0042(brokerage business),626,-1
12,0096(brokerage business),249,185,12,0031(brokerage business),852,0,12,0333(brokerage business),290,7
13,0308(brokerage business),224,144,13,0004(brokerage business),787,-237,13,0269(brokerage business),235,0
14,0081(brokerage business),221,137,14,0338(brokerage business),782,0,14,0096(brokerage business),162,49
15,0323(brokerage business),166,149,15,0268(brokerage business),672,-28,15,0240(brokerage business),150,7
16,0253(brokerage business),158,139,16,0372(brokerage business),670,120,16,0008(brokerage business),103,0
17,0275(brokerage business),136,76,17,0253(brokerage business),594,4,17,0274(brokerage business),97,2
18,0088(brokerage business),135,119,18,0042(brokerage business),454,13,18,0268(brokerage business),82,-4
19,0069(brokerage business),115,68,19,0169(brokerage business),304,0,19,0123(brokerage business),77,-86
20,0009(brokerage business),96,81,20,0096(brokerage business),286,54,20,0253(brokerage business),74,-26
Total,,10751,8268,Total,,21168,890,Total,,24491,641
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2609,,,,,,,,,,2026-09-11,
1,,,,1,8240(brokerage business),490,0,1,8009(brokerage business),330,0
2,,,,2,8049(brokerage business),135,0,2,8274(brokerage business),215,0
3,,,,3,8253(brokerage business),135,0,3,8096(brokerage business),190,0
4,,,,4,8148(brokerage business),115,0,4,8240(brokerage business),140,0
5,,,,5,8161(brokerage business),90,0,5,8049(brokerage business),80,0
6,,,,6,8051(brokerage business),5,0,6,8253(brokerage business),15,0
Total,,,,Total,,970,0,Total,,970,0
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2610,,,,,,,,,,2026-09-11,
1,8163(brokerage business),6943,2561,1,8004(brokerage business),3181,-279,1,8004(brokerage business),3453,-75
2,8148(brokerage business),3155,1233,2,8148(brokerage business),2554,30,2,8148(brokerage business),3395,-323
3,8253(brokerage business),3048,1144,3,8239(brokerage business),1281,-300,3,8025(brokerage business),848,-480
4,8004(brokerage business),2912,1748,4,8081(brokerage business),891,23,4,8081(brokerage business),756,-3
5,8123(brokerage business),1518,-81,5,8184(brokerage business),878,-198,5,8161(brokerage business),742,-1
6,8308(brokerage business),972,387,6,8161(brokerage business),720,-2,6,8163(brokerage business),700,2
7,8081(brokerage business),932,439,7,8103(brokerage business),612,-157,7,8240(brokerage business),590,-200
8,8082(brokerage business),851,315,8,8082(brokerage business),568,-17,8,8049(brokerage business),529,-93
9,8275(brokerage business),791,-20,9,8163(brokerage business),518,-365,9,8082(brokerage business),525,-12
10,8096(brokerage business),773,374,10,8323(brokerage business),370,-57,10,8103(brokerage business),514,-181
11,8239(brokerage business),611,267,11,8048(brokerage business),340,16,11,8323(brokerage business),352,-50
12,8103(brokerage business),554,373,12,8253(brokerage business),337,-104,12,8051(brokerage business),349,45
13,8161(brokerage business),513,216,13,8272(brokerage business),261,12,13,8048(brokerage business),320,15
14,8025(brokerage business),481,251,14,8001(brokerage business),144,-13,14,8253(brokerage business),278,64
15,8009(brokerage business),434,217,15,8311(brokerage business),122,-15,15,8084(brokerage business),262,191
16,8240(brokerage business),365,272,16,8333(brokerage business),113,-70,16,8034(brokerage business),203,3
17,8048(brokerage business),325,-76,17,8288(brokerage business),105,5,17,8009(brokerage business),136,-205
18,8084(brokerage business),320,157,18,8259(brokerage business),82,-8,18,8308(brokerage business),103,-150
19,8268(brokerage business),304,176,19,8335(brokerage business),81,-15,19,8123(brokerage business),81,-145
20,8272(brokerage business),282,69,20,8268(brokerage business),68,12,20,8096(brokerage business),62,25
Total,,26084,10022,Total,,13226,-1502,Total,,14198,-1573
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：alall,,,,,,,2026-09-11,,,,
Name of FF Member/OSBP,828842,297892,Name of FF Member/OSBP,593718,-29349,Name of FF Member/OSBP,587042,-29449,,,
Name of Non-FF Member/OSNBP,100,-2336,Name of Non-FF Member/OSNBP,0,0,Name of Non-FF Member/OSNBP,6676,100,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2609,,,,,,,,,,2026-09-11,
1,0004(brokerage business),1720,615,1,0148(brokerage business),4230,-750,1,0004(brokerage business),2950,-785
2,0148(brokerage business),1310,640,2,0004(brokerage business),2685,635,2,0240(brokerage business),950,-110
3,0163(brokerage business),1215,-200,3,0058(brokerage business),1350,0,3,0043(brokerage business),790,0
4,0139(brokerage business),1050,45,4,0043(brokerage business),710,140,4,0321(brokerage business),600,0
5,0272(brokerage business),740,540,5,0049(brokerage business),590,-410,5,0123(brokerage business),535,0
6,0049(brokerage business),600,225,6,0034(brokerage business),395,-345,6,0139(brokerage business),500,-630
7,0125(brokerage business),600,450,7,0272(brokerage business),355,-20,7,0308(brokerage business),440,0
8,0137(brokerage business),535,480,8,0139(brokerage business),275,-380,8,0299(brokerage business),420,35
9,0268(brokerage business),510,380,9,0003(brokerage business),200,0,9,0042(brokerage business),410,-125
10,0238(brokerage business),470,90,10,0059(brokerage business),175,-10,10,0148(brokerage business),380,-370
11,0034(brokerage business),345,-125,11,0007(brokerage business),165,-55,11,0069(brokerage business),350,25
12,0253(brokerage business),310,295,12,0031(brokerage business),95,-170,12,0019(brokerage business),345,-70
13,0052(brokerage business),175,175,13,0096(brokerage business),80,-10,13,0048(brokerage business),340,0
14,0031(brokerage business),170,-30,14,0103(brokerage business),80,-85,14,0007(brokerage business),320,0
15,0262(brokerage business),160,160,15,0161(brokerage business),60,0,15,0163(brokerage business),290,-135
16,0042(brokerage business),150,145,16,0018(brokerage business),55,-50,16,0018(brokerage business),230,0
17,0003(brokerage business),140,-95,17,0077(brokerage business),50,-10,17,0268(brokerage business),230,-510
18,0043(brokerage business),140,-160,18,0178(brokerage business),50,-20,18,0323(brokerage business),215,-55
19,0161(brokerage business),130,130,19,0082(brokerage business),45,0,19,0275(brokerage business),205,-5
20,0240(brokerage business),125,40,20,0308(brokerage business),45,45,20,0171(brokerage business),200,90
Total,,10595,3800,Total,,11690,-1495,Total,,10700,-2645
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2610,,,,,,,,,,2026-09-11,
1,0148(brokerage business),60337,18222,1,0148(brokerage business),27570,-1030,1,0148(brokerage business),38255,-501
2,0004(brokerage business),54370,16844,2,0004(brokerage business),25490,-2353,2,0004(brokerage business),25736,-1389
3,0275(brokerage business),53682,16691,3,0163(brokerage business),13667,-1168,3,0123(brokerage business),13695,-1867
4,0163(brokerage business),51181,19125,4,0253(brokerage business),6593,-1577,4,0163(brokerage business),8754,-277
5,0253(brokerage business),27083,12494,5,0272(brokerage business),6590,-1377,5,0253(brokerage business),8470,-1150
6,0272(brokerage business),23666,9841,6,0034(brokerage business),6472,-573,6,0272(brokerage business),8027,-3991
7,0081(brokerage business),12618,5788,7,0103(brokerage business),6087,-572,7,0034(brokerage business),6868,-278
8,0123(brokerage business),10020,2917,8,0335(brokerage business),5936,-662,8,0240(brokerage business),6641,46
9,0259(brokerage business),7598,1603,9,0139(brokerage business),5344,378,9,0275(brokerage business),6610,-2267
10,0240(brokerage business),7550,936,10,0268(brokerage business),4913,102,10,0268(brokerage business),6523,-582
11,0268(brokerage business),6230,2560,11,0323(brokerage business),4605,-625,11,0139(brokerage business),5338,-318
12,0323(brokerage business),5603,1710,12,0123(brokerage business),4517,11,12,0323(brokerage business),4815,-454
13,0034(brokerage business),5449,2819,13,0069(brokerage business),4239,-492,13,0058(brokerage business),3950,-1041
14,0096(brokerage business),4739,1842,14,0161(brokerage business),4163,-754,14,0103(brokerage business),3790,-139
15,0139(brokerage business),4530,3163,15,0288(brokerage business),3719,-425,15,0161(brokerage business),3268,748
16,0018(brokerage business),4424,2184,16,0003(brokerage business),3504,-245,16,0049(brokerage business),3265,-705
17,0308(brokerage business),3424,694,17,0077(brokerage business),3067,-182,17,0018(brokerage business),2578,-596
18,0161(brokerage business),2976,376,18,0240(brokerage business),3048,-808,18,0002(brokerage business),2530,0
19,0009(brokerage business),2808,1348,19,0096(brokerage business),3002,-381,19,0048(brokerage business),1927,147
20,0103(brokerage business),2701,375,20,0082(brokerage business),2993,-613,20,0069(brokerage business),1815,-169
Total,,350989,121532,Total,,145519,-13346,Total,,162855,-14783
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2611,,,,,,,,,,2026-09-11,
1,0004(brokerage business),50567,11599,1,0148(brokerage business),28740,-56,1,0004(brokerage business),24419,2548
2,0148(brokerage business),30060,13871,2,0239(brokerage business),22411,-1589,2,0123(brokerage business),22761,638
3,0163(brokerage business),29411,13528,3,0004(brokerage business),16579,-1133,3,0148(brokerage business),21953,-962
4,0253(brokerage business),19028,12108,4,0163(brokerage business),14391,1521,4,0058(brokerage business),13252,105
5,0272(brokerage business),11950,10019,5,0272(brokerage business),10447,409,5,0272(brokerage business),11450,1885
6,0275(brokerage business),10955,3222,6,0335(brokerage business),9252,81,6,0103(brokerage business),7717,-527
7,0123(brokerage business),9742,2815,7,0268(brokerage business),8332,-500,7,0139(brokerage business),6891,-250
8,0268(brokerage business),5761,4308,8,0034(brokerage business),5701,-1434,8,0096(brokerage business),5724,-216
9,0081(brokerage business),5723,3090,9,0077(brokerage business),5078,480,9,0240(brokerage business),4925,-168
10,0323(brokerage business),5022,2957,10,0069(brokerage business),4520,-82,10,0163(brokerage business),4564,26
11,0295(brokerage business),4963,4163,11,0253(brokerage business),4164,555,11,0002(brokerage business),4176,0
12,0239(brokerage business),4286,1020,12,0084(brokerage business),4138,-4,12,0372(brokerage business),3935,3
13,0240(brokerage business),4002,1415,13,0323(brokerage business),3842,-539,13,0003(brokerage business),3789,157
14,0308(brokerage business),3682,2266,14,0103(brokerage business),3265,249,14,0161(brokerage business),3261,273
15,0034(brokerage business),3429,2219,15,0042(brokerage business),2875,184,15,0253(brokerage business),3230,-569
16,0069(brokerage business),3017,1030,16,0240(brokerage business),2723,-244,16,0275(brokerage business),3061,-654
17,0299(brokerage business),2953,1625,17,0008(brokerage business),2376,58,17,0308(brokerage business),2909,-1812
18,0103(brokerage business),2324,-60,18,0049(brokerage business),2290,25,18,0029(brokerage business),2768,-212
19,0161(brokerage business),2141,1490,19,0096(brokerage business),2234,-56,19,0008(brokerage business),2721,-46
20,0335(brokerage business),2033,722,20,0082(brokerage business),2211,113,20,0034(brokerage business),2631,-237
Total,,211049,93407,Total,,155569,-1962,Total,,156137,-18
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
