"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-10,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-10,,,,
Name of FF Member/OSBP,394752,756,Name of FF Member/OSBP,596917,8770,Name of FF Member/OSBP,583627,7970,,,
Name of Non-FF Member/OSNBP,3908,684,Name of Non-FF Member/OSNBP,3686,181,Name of Non-FF Member/OSNBP,16976,981,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-09-10,
1,0049(brokerage business),3575,-65,1,0004(brokerage business),4195,-315,1,0049(brokerage business),2445,-1455
2,0163(brokerage business),3055,560,2,0148(brokerage business),3315,-560,2,0315(brokerage business),2280,-380
3,0272(brokerage business),2455,-150,3,0049(brokerage business),3200,-880,3,0025(brokerage business),1910,-130
4,0139(brokerage business),1915,295,4,0139(brokerage business),2390,-1015,4,0139(brokerage business),1470,-380
5,0148(brokerage business),1730,-575,5,0006(brokerage business),1265,-240,5,0009(brokerage business),1335,30
6,0025(brokerage business),1475,725,6,0321(brokerage business),1080,-480,6,0272(brokerage business),1140,-80
7,0004(brokerage business),1445,-295,7,0003(brokerage business),960,-30,7,0169(brokerage business),960,-75
8,0315(brokerage business),1255,-865,8,0025(brokerage business),880,-115,8,0096(brokerage business),910,70
9,0321(brokerage business),1085,605,9,0096(brokerage business),770,-20,9,0004(brokerage business),870,-850
10,0082(brokerage business),795,390,10,0163(brokerage business),645,-450,10,0042(brokerage business),860,55
11,0006(brokerage business),625,230,11,0272(brokerage business),645,-415,11,0268(brokerage business),815,-245
12,0009(brokerage business),565,-145,12,0082(brokerage business),620,-185,12,0321(brokerage business),815,25
13,0311(brokerage business),540,245,13,0288(brokerage business),510,0,13,0069(brokerage business),765,-455
14,0043(brokerage business),525,460,14,0137(brokerage business),470,0,14,0058(brokerage business),720,-105
15,0240(brokerage business),505,-80,15,0048(brokerage business),455,25,15,0253(brokerage business),715,-330
16,0003(brokerage business),495,-270,16,0081(brokerage business),450,15,16,0081(brokerage business),620,45
17,0069(brokerage business),460,185,17,0077(brokerage business),380,-105,17,0148(brokerage business),505,-350
18,0048(brokerage business),420,35,18,0240(brokerage business),355,-35,18,0003(brokerage business),475,-155
19,0253(brokerage business),420,150,19,0103(brokerage business),350,5,19,0163(brokerage business),445,-55
20,0096(brokerage business),400,-120,20,0009(brokerage business),290,-405,20,0077(brokerage business),395,-30
Total,,23740,1315,Total,,23225,-5205,Total,,20450,-4850
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-09-10,
1,0148(brokerage business),31083,633,1,0148(brokerage business),28692,994,1,0148(brokerage business),19338,125
2,0163(brokerage business),24198,1967,2,0004(brokerage business),25322,37,2,0049(brokerage business),17105,544
3,0004(brokerage business),17742,862,3,0163(brokerage business),12202,287,3,0163(brokerage business),13342,-11
4,0275(brokerage business),8087,3445,4,0272(brokerage business),11952,954,4,0004(brokerage business),12132,-903
5,0049(brokerage business),7301,1477,5,0103(brokerage business),8089,125,5,0139(brokerage business),10670,-993
6,0096(brokerage business),6881,1288,6,0049(brokerage business),7368,1129,6,0009(brokerage business),9623,-716
7,0308(brokerage business),6750,814,7,0253(brokerage business),7086,384,7,0058(brokerage business),7080,307
8,0272(brokerage business),6319,1366,8,0077(brokerage business),5740,-168,8,0321(brokerage business),6634,-102
9,0034(brokerage business),5760,1523,9,0240(brokerage business),5452,329,9,0082(brokerage business),5438,-122
10,0253(brokerage business),5670,655,10,0034(brokerage business),4414,-147,10,0272(brokerage business),5330,333
11,0123(brokerage business),4120,-405,11,0335(brokerage business),4322,-90,11,0034(brokerage business),5245,681
12,0081(brokerage business),4119,264,12,0268(brokerage business),3865,45,12,0240(brokerage business),5087,225
13,0268(brokerage business),2819,-1086,13,0082(brokerage business),3537,344,13,0042(brokerage business),4576,-376
14,0103(brokerage business),2818,145,14,0323(brokerage business),3249,-41,14,0253(brokerage business),4420,402
15,0009(brokerage business),2795,154,15,0042(brokerage business),3225,71,15,0025(brokerage business),4380,-245
16,0240(brokerage business),2740,-248,16,0096(brokerage business),3107,8,16,0018(brokerage business),3900,20
17,0042(brokerage business),2577,650,17,0161(brokerage business),3086,16,17,0125(brokerage business),3817,36
18,0043(brokerage business),2554,278,18,0308(brokerage business),3072,178,18,0006(brokerage business),3796,-165
19,0151(brokerage business),2444,361,19,0125(brokerage business),3066,282,19,0081(brokerage business),3498,233
20,0323(brokerage business),2305,205,20,0059(brokerage business),3002,-103,20,0096(brokerage business),3430,-96
Total,,149082,14348,Total,,149848,4634,Total,,148841,-823
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-09-10,
1,0004(brokerage business),12650,2014,1,0148(brokerage business),25235,2728,1,0004(brokerage business),13079,725
2,0148(brokerage business),11758,482,2,0239(brokerage business),10595,247,2,0148(brokerage business),12651,228
3,0163(brokerage business),8730,-570,3,0004(brokerage business),10060,79,3,0049(brokerage business),10615,1305
4,0096(brokerage business),3535,1452,4,0272(brokerage business),7913,87,4,0315(brokerage business),6461,44
5,0308(brokerage business),3306,71,5,0163(brokerage business),6952,351,5,0163(brokerage business),5524,-87
6,0275(brokerage business),2797,620,6,0268(brokerage business),5277,-104,6,0372(brokerage business),5106,-182
7,0253(brokerage business),1869,177,7,0103(brokerage business),4046,620,7,0009(brokerage business),4611,269
8,0272(brokerage business),1856,289,8,0049(brokerage business),2978,-15,8,0042(brokerage business),4464,198
9,0049(brokerage business),1660,-304,9,0335(brokerage business),2892,-349,9,0034(brokerage business),4244,65
10,0333(brokerage business),1631,763,10,0034(brokerage business),2603,-41,10,0069(brokerage business),3476,404
11,0125(brokerage business),1489,980,11,0274(brokerage business),2519,67,11,0253(brokerage business),3423,251
12,0240(brokerage business),1476,653,12,0323(brokerage business),2201,45,12,0139(brokerage business),3294,69
13,0239(brokerage business),1423,700,13,0125(brokerage business),2192,-39,13,0321(brokerage business),3286,243
14,0259(brokerage business),1421,720,14,0240(brokerage business),2171,532,14,0272(brokerage business),2781,235
15,0103(brokerage business),1153,214,15,0178(brokerage business),2156,96,15,0169(brokerage business),2668,3
16,0069(brokerage business),1129,131,16,0385(brokerage business),2080,49,16,0025(brokerage business),2614,95
17,0019(brokerage business),1094,69,17,0308(brokerage business),2006,265,17,0067(brokerage business),2448,51
18,0268(brokerage business),1071,30,18,0253(brokerage business),1935,132,18,0082(brokerage business),2303,67
19,0059(brokerage business),1029,318,19,0123(brokerage business),1883,52,19,0177(brokerage business),2103,10
20,0295(brokerage business),1012,-69,20,0077(brokerage business),1465,103,20,0138(brokerage business),1850,-2
Total,,62089,8740,Total,,99159,4905,Total,,97001,3991
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2612,,,,,,,,,,2026-09-10,
1,0163(brokerage business),3735,195,1,0148(brokerage business),6909,95,1,0148(brokerage business),10419,-206
2,0004(brokerage business),2926,573,2,0004(brokerage business),5218,436,2,0049(brokerage business),9146,109
3,0148(brokerage business),2317,-73,3,0136(brokerage business),4012,-7,3,0004(brokerage business),8826,110
4,0272(brokerage business),1658,-470,4,0272(brokerage business),3830,557,4,0272(brokerage business),4692,-15
5,0275(brokerage business),1600,232,5,0049(brokerage business),3151,50,5,0096(brokerage business),3709,17
6,0308(brokerage business),1576,-269,6,0274(brokerage business),3147,4,6,0125(brokerage business),3393,-55
7,0333(brokerage business),1063,-179,7,0103(brokerage business),3114,16,7,0034(brokerage business),3046,46
8,0123(brokerage business),696,-765,8,0042(brokerage business),2291,-7,8,0169(brokerage business),2950,-15
9,0253(brokerage business),667,10,9,0323(brokerage business),2125,1,9,0082(brokerage business),2475,12
10,0268(brokerage business),611,140,10,0081(brokerage business),2090,48,10,0372(brokerage business),2144,125
11,0069(brokerage business),606,158,11,0178(brokerage business),2083,-61,11,0067(brokerage business),2089,-40
12,0025(brokerage business),583,472,12,0031(brokerage business),2058,-1,12,0042(brokerage business),1979,135
13,0335(brokerage business),570,445,13,0163(brokerage business),2050,78,13,0163(brokerage business),1979,-277
14,0259(brokerage business),502,313,14,0077(brokerage business),2010,7,14,0253(brokerage business),1726,34
15,0096(brokerage business),471,-66,15,0025(brokerage business),1908,320,15,0025(brokerage business),1547,-127
16,0081(brokerage business),460,125,16,0034(brokerage business),1751,-19,16,0069(brokerage business),1452,129
17,0323(brokerage business),433,170,17,0069(brokerage business),1614,-31,17,0240(brokerage business),1342,20
18,0151(brokerage business),424,300,18,0268(brokerage business),1512,293,18,0139(brokerage business),1197,5
19,0019(brokerage business),422,60,19,0253(brokerage business),1491,-131,19,0003(brokerage business),1071,-1
20,0043(brokerage business),404,277,20,0007(brokerage business),1473,-14,20,0138(brokerage business),1040,0
Total,,21724,1648,Total,,53837,1634,Total,,66222,6
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2701,,,,,,,,,,2026-09-10,
1,0163(brokerage business),1751,-694,1,0148(brokerage business),3593,95,1,0148(brokerage business),11793,49
2,0096(brokerage business),1017,99,2,0004(brokerage business),2782,-47,2,0049(brokerage business),5262,-2
3,0333(brokerage business),796,-268,3,0049(brokerage business),2691,-2,3,0272(brokerage business),4748,-1
4,0148(brokerage business),708,11,4,0136(brokerage business),2124,-4,4,0184(brokerage business),1500,0
5,0125(brokerage business),701,519,5,0034(brokerage business),1753,10,5,0067(brokerage business),1424,-2
6,0004(brokerage business),542,-227,6,0069(brokerage business),1750,-96,6,0034(brokerage business),1287,148
7,0272(brokerage business),513,-395,7,0323(brokerage business),1556,25,7,0103(brokerage business),1152,27
8,0178(brokerage business),481,-97,8,0333(brokerage business),1426,290,8,0042(brokerage business),1023,2
9,0275(brokerage business),460,-102,9,0031(brokerage business),1274,0,9,0169(brokerage business),976,98
10,0253(brokerage business),355,2,10,0103(brokerage business),1142,4,10,0372(brokerage business),955,-17
11,0069(brokerage business),292,-163,11,0272(brokerage business),1085,138,11,0163(brokerage business),770,-158
12,0240(brokerage business),285,-705,12,0163(brokerage business),1012,-101,12,0077(brokerage business),582,0
13,0123(brokerage business),258,-85,13,0239(brokerage business),883,0,13,0082(brokerage business),557,1
14,0034(brokerage business),204,-678,14,0274(brokerage business),882,3,14,0096(brokerage business),548,72
15,0161(brokerage business),201,47,15,0177(brokerage business),853,0,15,0025(brokerage business),519,3
16,0186(brokerage business),168,28,16,0178(brokerage business),847,-86,16,0333(brokerage business),515,-128
17,0009(brokerage business),128,-231,17,0077(brokerage business),732,-5,17,0240(brokerage business),475,-46
18,0103(brokerage business),125,-34,18,0339(brokerage business),685,0,18,0018(brokerage business),465,1
19,0169(brokerage business),125,5,19,0042(brokerage business),668,-8,19,0004(brokerage business),386,-15
20,0006(brokerage business),105,102,20,0268(brokerage business),616,15,20,0253(brokerage business),349,-38
Total,,9215,-2866,Total,,28354,231,Total,,35286,-6
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2702,,,,,,,,,,2026-09-10,
1,0272(brokerage business),409,286,1,0004(brokerage business),2554,-210,1,0148(brokerage business),6621,-21
2,0004(brokerage business),381,-5,2,0272(brokerage business),2191,169,2,0004(brokerage business),2267,-31
3,0333(brokerage business),235,-5,3,0148(brokerage business),1819,9,3,0025(brokerage business),1953,0
4,0163(brokerage business),225,-331,4,0069(brokerage business),1250,1,4,0333(brokerage business),1071,-4
5,0240(brokerage business),205,55,5,0049(brokerage business),949,12,5,0103(brokerage business),1054,2
6,0186(brokerage business),129,124,6,0323(brokerage business),931,-16,6,0042(brokerage business),827,4
7,0049(brokerage business),87,56,7,0031(brokerage business),855,0,7,0163(brokerage business),682,-64
8,0081(brokerage business),86,38,8,0139(brokerage business),698,0,8,0067(brokerage business),677,0
9,0271(brokerage business),77,70,9,0178(brokerage business),658,6,9,0077(brokerage business),441,-6
10,0148(brokerage business),72,-137,10,0081(brokerage business),487,38,10,0049(brokerage business),283,-7
11,0034(brokerage business),59,23,11,0034(brokerage business),483,-3,11,0096(brokerage business),221,0
12,0253(brokerage business),51,5,12,0268(brokerage business),366,9,12,0253(brokerage business),180,2
13,0169(brokerage business),45,-16,13,0003(brokerage business),362,1,13,0059(brokerage business),148,0
14,0323(brokerage business),37,-29,14,0161(brokerage business),355,-2,14,0123(brokerage business),145,28
15,0178(brokerage business),36,-110,15,0103(brokerage business),308,-4,15,0323(brokerage business),139,11
16,0308(brokerage business),36,-2,16,0008(brokerage business),286,9,16,0034(brokerage business),132,2
17,0123(brokerage business),34,-29,17,0253(brokerage business),272,-15,17,0008(brokerage business),131,0
18,0244(brokerage business),28,15,18,0042(brokerage business),254,0,18,0240(brokerage business),118,22
19,0088(brokerage business),27,10,19,0333(brokerage business),246,11,19,0088(brokerage business),116,20
20,0275(brokerage business),23,12,20,0186(brokerage business),244,97,20,0161(brokerage business),115,0
Total,,2282,30,Total,,15568,112,Total,,17321,-42
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2703,,,,,,,,,,2026-09-10,
1,0163(brokerage business),555,36,1,0323(brokerage business),2145,11,1,0148(brokerage business),10337,16
2,0333(brokerage business),402,101,2,0272(brokerage business),1831,9,2,0049(brokerage business),2439,-1
3,0272(brokerage business),331,-38,3,0148(brokerage business),1809,-67,3,0004(brokerage business),2369,-18
4,0004(brokerage business),270,48,4,0049(brokerage business),1656,-27,4,0077(brokerage business),2086,-3
5,0148(brokerage business),213,18,5,0069(brokerage business),1510,-28,5,0422(brokerage business),1040,0
6,0186(brokerage business),108,94,6,0333(brokerage business),1182,16,6,0323(brokerage business),1019,0
7,0081(brokerage business),84,-8,7,0136(brokerage business),1128,0,7,0067(brokerage business),1004,0
8,0240(brokerage business),83,-146,8,0339(brokerage business),1087,0,8,0103(brokerage business),862,1
9,0308(brokerage business),80,20,9,0004(brokerage business),1024,70,9,0042(brokerage business),627,1
10,0096(brokerage business),64,-32,10,0003(brokerage business),976,0,10,0163(brokerage business),563,74
11,0275(brokerage business),60,11,11,0034(brokerage business),870,5,11,0333(brokerage business),283,54
12,0006(brokerage business),53,36,12,0031(brokerage business),852,0,12,0269(brokerage business),235,1
13,0077(brokerage business),52,13,13,0338(brokerage business),782,0,13,0272(brokerage business),183,-26
14,0069(brokerage business),47,16,14,0268(brokerage business),700,13,14,0123(brokerage business),163,23
15,0123(brokerage business),43,-18,15,0163(brokerage business),609,15,15,0240(brokerage business),143,-24
16,0277(brokerage business),41,41,16,0253(brokerage business),590,13,16,0096(brokerage business),113,-9
17,0049(brokerage business),36,-3,17,0372(brokerage business),550,6,17,0008(brokerage business),103,0
18,0034(brokerage business),34,-11,18,0042(brokerage business),441,-3,18,0253(brokerage business),100,6
19,0238(brokerage business),31,-5,19,0169(brokerage business),304,-1,19,0274(brokerage business),95,2
20,0313(brokerage business),30,0,20,0161(brokerage business),294,2,20,0268(brokerage business),86,2
Total,,2617,173,Total,,20340,34,Total,,23850,99
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2609,,,,,,,,,,2026-09-10,
1,8148(brokerage business),10,10,1,8240(brokerage business),490,-35,1,8009(brokerage business),330,-40
2,8240(brokerage business),5,5,2,8049(brokerage business),135,0,2,8274(brokerage business),215,0
3,8311(brokerage business),5,5,3,8253(brokerage business),135,0,3,8096(brokerage business),190,0
4,,,,4,8148(brokerage business),115,-5,4,8240(brokerage business),140,0
5,,,,5,8161(brokerage business),90,0,5,8049(brokerage business),80,0
6,,,,6,8051(brokerage business),5,0,6,8253(brokerage business),15,0
Total,,20,20,Total,,970,-40,Total,,970,-40
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2610,,,,,,,,,,2026-09-10,
1,8163(brokerage business),4382,161,1,8004(brokerage business),3460,54,1,8148(brokerage business),3718,89
2,8148(brokerage business),1922,-85,2,8148(brokerage business),2524,61,2,8004(brokerage business),3528,36
3,8253(brokerage business),1904,-54,3,8239(brokerage business),1581,0,3,8025(brokerage business),1328,230
4,8123(brokerage business),1599,-706,4,8184(brokerage business),1076,89,4,8240(brokerage business),790,29
5,8004(brokerage business),1164,-105,5,8163(brokerage business),883,63,5,8081(brokerage business),759,-56
6,8275(brokerage business),811,346,6,8081(brokerage business),868,-55,6,8161(brokerage business),743,-31
7,8308(brokerage business),585,267,7,8103(brokerage business),769,-24,7,8163(brokerage business),698,31
8,8082(brokerage business),536,40,8,8161(brokerage business),722,4,8,8103(brokerage business),695,-35
9,8081(brokerage business),493,-116,9,8082(brokerage business),585,25,9,8049(brokerage business),622,12
10,8048(brokerage business),401,161,10,8253(brokerage business),441,36,10,8082(brokerage business),537,-1
11,8096(brokerage business),399,-17,11,8323(brokerage business),427,-65,11,8323(brokerage business),402,-102
12,8239(brokerage business),344,117,12,8048(brokerage business),324,-7,12,8009(brokerage business),341,9
13,8161(brokerage business),297,-187,13,8272(brokerage business),249,18,13,8048(brokerage business),305,-6
14,8323(brokerage business),247,117,14,8333(brokerage business),183,6,14,8051(brokerage business),304,0
15,8025(brokerage business),230,209,15,8001(brokerage business),157,5,15,8308(brokerage business),253,43
16,8009(brokerage business),217,51,16,8311(brokerage business),137,23,16,8123(brokerage business),226,10
17,8272(brokerage business),213,-271,17,8157(brokerage business),119,1,17,8253(brokerage business),214,4
18,8103(brokerage business),181,-37,18,8288(brokerage business),100,10,18,8034(brokerage business),200,-1
