"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-09,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-09,,,,
Name of FF Member/OSBP,393996,-12662,Name of FF Member/OSBP,588147,599,Name of FF Member/OSBP,575657,35,,,
Name of Non-FF Member/OSNBP,3224,594,Name of Non-FF Member/OSNBP,3505,237,Name of Non-FF Member/OSNBP,15995,801,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-09-09,
1,0049(brokerage business),3640,-65,1,0004(brokerage business),4510,-1210,1,0049(brokerage business),3900,-895
2,0272(brokerage business),2605,1000,2,0049(brokerage business),4080,435,2,0315(brokerage business),2660,-360
3,0163(brokerage business),2495,-1045,3,0148(brokerage business),3875,-455,3,0025(brokerage business),2040,145
4,0148(brokerage business),2305,-1210,4,0139(brokerage business),3405,-1075,4,0139(brokerage business),1850,-315
5,0315(brokerage business),2120,780,5,0321(brokerage business),1560,-75,5,0004(brokerage business),1720,80
6,0004(brokerage business),1740,610,6,0006(brokerage business),1505,5,6,0009(brokerage business),1305,-135
7,0139(brokerage business),1620,1090,7,0163(brokerage business),1095,25,7,0069(brokerage business),1220,-175
8,0003(brokerage business),765,95,8,0272(brokerage business),1060,-720,8,0272(brokerage business),1220,205
9,0025(brokerage business),750,-195,9,0025(brokerage business),995,-215,9,0268(brokerage business),1060,-145
10,0009(brokerage business),710,-195,10,0003(brokerage business),990,5,10,0253(brokerage business),1045,-215
11,0151(brokerage business),590,210,11,0082(brokerage business),805,290,11,0169(brokerage business),1035,-100
12,0240(brokerage business),585,-1455,12,0096(brokerage business),790,0,12,0148(brokerage business),855,-450
13,0096(brokerage business),520,-315,13,0009(brokerage business),695,85,13,0096(brokerage business),840,110
14,0321(brokerage business),480,-940,14,0311(brokerage business),530,-5,14,0058(brokerage business),825,-340
15,0058(brokerage business),455,-445,15,0288(brokerage business),510,-5,15,0042(brokerage business),805,-110
16,0125(brokerage business),420,-620,16,0077(brokerage business),485,-55,16,0321(brokerage business),790,-115
17,0081(brokerage business),405,65,17,0137(brokerage business),470,0,17,0003(brokerage business),630,-80
18,0082(brokerage business),405,-875,18,0043(brokerage business),465,65,18,0081(brokerage business),575,-100
19,0047(brokerage business),400,70,19,0081(brokerage business),435,-85,19,0163(brokerage business),500,-190
20,0299(brokerage business),400,-45,20,0048(brokerage business),430,345,20,0047(brokerage business),450,-330
Total,,23410,-3485,Total,,28690,-2645,Total,,25325,-3515
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-09-09,
1,0148(brokerage business),30450,4681,1,0148(brokerage business),27698,-349,1,0148(brokerage business),19213,-181
2,0163(brokerage business),22231,-2190,2,0004(brokerage business),25285,55,2,0049(brokerage business),16561,-527
3,0004(brokerage business),16880,-164,3,0163(brokerage business),11915,-402,3,0163(brokerage business),13353,1341
4,0308(brokerage business),5936,-806,4,0272(brokerage business),10998,-363,4,0004(brokerage business),13035,-1157
5,0049(brokerage business),5824,-38,5,0103(brokerage business),7964,-30,5,0139(brokerage business),11663,-252
6,0096(brokerage business),5593,415,6,0253(brokerage business),6702,112,6,0009(brokerage business),10339,474
7,0253(brokerage business),5015,-815,7,0049(brokerage business),6239,589,7,0058(brokerage business),6773,414
8,0272(brokerage business),4953,-1804,8,0077(brokerage business),5908,173,8,0321(brokerage business),6736,-143
9,0275(brokerage business),4642,413,9,0240(brokerage business),5123,143,9,0082(brokerage business),5560,-984
10,0123(brokerage business),4525,-28,10,0034(brokerage business),4561,196,10,0272(brokerage business),4997,-266
11,0034(brokerage business),4237,549,11,0335(brokerage business),4412,-119,11,0042(brokerage business),4952,148
12,0268(brokerage business),3905,-390,12,0268(brokerage business),3820,-29,12,0240(brokerage business),4862,-219
13,0081(brokerage business),3855,53,13,0323(brokerage business),3290,22,13,0025(brokerage business),4625,-671
14,0240(brokerage business),2988,-962,14,0082(brokerage business),3193,-23,14,0034(brokerage business),4564,7
15,0103(brokerage business),2673,217,15,0042(brokerage business),3154,-33,15,0253(brokerage business),4018,-79
16,0009(brokerage business),2641,948,16,0059(brokerage business),3105,23,16,0006(brokerage business),3961,-35
17,0059(brokerage business),2612,-105,17,0096(brokerage business),3099,-430,17,0018(brokerage business),3880,70
18,0082(brokerage business),2343,-537,18,0161(brokerage business),3070,173,18,0125(brokerage business),3781,-126
19,0043(brokerage business),2276,-768,19,0308(brokerage business),2894,-34,19,0096(brokerage business),3526,-139
20,0077(brokerage business),2198,-23,20,0125(brokerage business),2784,-127,20,0081(brokerage business),3265,-110
Total,,135777,-1354,Total,,145214,-453,Total,,149664,-2435
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-09-09,
1,0148(brokerage business),11276,1926,1,0148(brokerage business),22507,1952,1,0148(brokerage business),12423,-350
2,0004(brokerage business),10636,1728,2,0239(brokerage business),10348,467,2,0004(brokerage business),12354,904
3,0163(brokerage business),9300,743,3,0004(brokerage business),9981,354,3,0049(brokerage business),9310,1124
4,0308(brokerage business),3235,-547,4,0272(brokerage business),7826,207,4,0315(brokerage business),6417,48
5,0275(brokerage business),2177,-50,5,0163(brokerage business),6601,317,5,0163(brokerage business),5611,-33
6,0096(brokerage business),2083,392,6,0268(brokerage business),5381,-81,6,0372(brokerage business),5288,-51
7,0049(brokerage business),1964,1161,7,0103(brokerage business),3426,313,7,0009(brokerage business),4342,83
8,0123(brokerage business),1820,-750,8,0335(brokerage business),3241,136,8,0042(brokerage business),4266,-130
9,0253(brokerage business),1692,-559,9,0049(brokerage business),2993,-150,9,0034(brokerage business),4179,-768
