"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-18,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-18,,,,
Name of FF Member/OSBP,459051,26641,Name of FF Member/OSBP,566196,-29596,Name of FF Member/OSBP,556581,-28573,,,
Name of Non-FF Member/OSNBP,3199,1445,Name of Non-FF Member/OSNBP,2610,221,Name of Non-FF Member/OSNBP,12225,-802,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-08-18,
1,0148(brokerage business),24995,4235,1,0004(brokerage business),23548,-2665,1,0148(brokerage business),17923,-816
2,0163(brokerage business),24128,-4912,2,0148(brokerage business),22066,-2345,2,0049(brokerage business),16238,-1379
3,0004(brokerage business),17137,1068,3,0049(brokerage business),11178,1904,3,0163(brokerage business),9892,-11
4,0272(brokerage business),7920,1809,4,0163(brokerage business),8102,-1393,4,0004(brokerage business),8472,-990
5,0049(brokerage business),7675,-782,5,0272(brokerage business),6919,-530,5,0058(brokerage business),6152,-1165
6,0275(brokerage business),7102,2427,6,0103(brokerage business),6480,-348,6,0253(brokerage business),5451,-745
7,0096(brokerage business),5785,1023,7,0139(brokerage business),5282,-137,7,0272(brokerage business),5386,-1442
8,0123(brokerage business),5309,1564,8,0025(brokerage business),5062,37,8,0009(brokerage business),5382,-150
9,0253(brokerage business),5224,423,9,0077(brokerage business),4583,19,9,0042(brokerage business),5150,-1138
10,0308(brokerage business),5016,-1017,10,0253(brokerage business),4243,-1133,10,0321(brokerage business),4902,-237
11,0081(brokerage business),4900,540,11,0240(brokerage business),3923,-830,11,0315(brokerage business),4896,533
12,0034(brokerage business),4187,1559,12,0321(brokerage business),3418,486,12,0003(brokerage business),4348,-70
13,0240(brokerage business),3462,-203,13,0009(brokerage business),3071,152,13,0139(brokerage business),4054,-32
14,0268(brokerage business),3438,-527,14,0275(brokerage business),2996,-314,14,0169(brokerage business),4021,-248
15,0009(brokerage business),2800,668,15,0335(brokerage business),2887,-601,15,0034(brokerage business),3735,-961
16,0058(brokerage business),2745,323,16,0268(brokerage business),2645,-269,16,0240(brokerage business),3643,-218
17,0323(brokerage business),2648,1104,17,0082(brokerage business),2567,-177,17,0082(brokerage business),3634,243
18,0042(brokerage business),2564,82,18,0042(brokerage business),2530,-146,18,0096(brokerage business),3519,-203
19,0315(brokerage business),2470,258,19,0096(brokerage business),2212,-262,19,0025(brokerage business),3287,-825
20,0069(brokerage business),2197,-755,20,0059(brokerage business),2155,-540,20,0081(brokerage business),2923,200
Total,,141702,8887,Total,,125867,-9092,Total,,123008,-9654
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-08-18,
1,0004(brokerage business),18834,2479,1,0148(brokerage business),30501,-1035,1,0004(brokerage business),17557,-190
2,0163(brokerage business),18643,-162,2,0004(brokerage business),16322,-2552,2,0148(brokerage business),17049,-1796
3,0148(brokerage business),16511,3553,3,0239(brokerage business),10137,-2382,3,0049(brokerage business),12193,304
4,0308(brokerage business),5414,821,4,0272(brokerage business),9049,429,4,0139(brokerage business),10475,-181
5,0275(brokerage business),5382,1680,5,0103(brokerage business),7273,-565,5,0009(brokerage business),8964,-270
6,0272(brokerage business),3662,924,6,0163(brokerage business),6344,-365,6,0042(brokerage business),8557,-291
7,0123(brokerage business),3653,1268,7,0049(brokerage business),4353,526,7,0163(brokerage business),8547,748
8,0240(brokerage business),3467,913,8,0335(brokerage business),3761,-565,8,0315(brokerage business),4893,-255
9,0253(brokerage business),3376,-656,9,0268(brokerage business),3706,-49,9,0069(brokerage business),4319,-788
10,0081(brokerage business),3317,462,10,0125(brokerage business),3304,106,10,0034(brokerage business),4009,55
11,0239(brokerage business),3082,1217,11,0253(brokerage business),2954,-96,11,0372(brokerage business),3633,-1339
12,0259(brokerage business),3062,715,12,0077(brokerage business),2677,193,12,0082(brokerage business),3476,-27
13,0049(brokerage business),2636,-1424,13,0308(brokerage business),2325,1211,13,0321(brokerage business),3036,-189
14,0372(brokerage business),2519,1364,14,0275(brokerage business),2301,576,14,0096(brokerage business),2946,-174
15,0096(brokerage business),2376,-80,15,0274(brokerage business),2278,-386,15,0169(brokerage business),2920,81
16,0034(brokerage business),2360,681,16,0259(brokerage business),2267,1256,16,0272(brokerage business),2555,-171
17,0042(brokerage business),2016,150,17,0178(brokerage business),2238,-53,17,0138(brokerage business),2526,431
18,0103(brokerage business),2008,-442,18,0240(brokerage business),2235,-933,18,0025(brokerage business),2401,71
19,0059(brokerage business),1603,-405,19,0082(brokerage business),2218,352,19,0081(brokerage business),2401,57
20,0009(brokerage business),1547,52,20,0042(brokerage business),2216,-153,20,0240(brokerage business),2392,-260
Total,,105468,13110,Total,,118459,-4485,Total,,124849,-4184
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-08-18,
1,0004(brokerage business),5592,1019,1,0148(brokerage business),5360,427,1,0148(brokerage business),8514,162
2,0163(brokerage business),4477,-1150,2,0004(brokerage business),4121,1283,2,0004(brokerage business),6261,377
3,0308(brokerage business),3911,955,3,0268(brokerage business),3095,8,3,0163(brokerage business),3096,48
4,0148(brokerage business),3549,-397,4,0049(brokerage business),2688,-2,4,0372(brokerage business),3016,1194
5,0259(brokerage business),2549,482,5,0034(brokerage business),2617,120,5,0042(brokerage business),2993,36
6,0372(brokerage business),2224,500,6,0025(brokerage business),2154,24,6,0253(brokerage business),2605,-87
7,0123(brokerage business),1861,1385,7,0163(brokerage business),2099,-259,7,0272(brokerage business),2358,-500
8,0275(brokerage business),1851,705,8,0178(brokerage business),2030,306,8,0049(brokerage business),2339,-209
9,0069(brokerage business),884,555,9,0239(brokerage business),1980,153,9,0034(brokerage business),1917,432
10,0272(brokerage business),883,327,10,0323(brokerage business),1580,346,10,0125(brokerage business),1636,-12
11,0253(brokerage business),857,6,11,0272(brokerage business),1470,7,11,0169(brokerage business),1452,-95
12,0034(brokerage business),794,409,12,0274(brokerage business),1329,-7,12,0259(brokerage business),1335,816
13,0137(brokerage business),752,636,13,0096(brokerage business),1280,18,13,0308(brokerage business),1243,810
14,0240(brokerage business),709,-23,14,0125(brokerage business),1242,-187,14,0315(brokerage business),1130,-1
15,0001(brokerage business),621,126,15,0103(brokerage business),1231,17,15,0240(brokerage business),1113,-278
16,0323(brokerage business),594,232,16,0137(brokerage business),1093,594,16,0096(brokerage business),836,-70
17,0239(brokerage business),580,90,17,0253(brokerage business),1059,446,17,0069(brokerage business),818,600
18,0081(brokerage business),544,-31,18,0308(brokerage business),974,-469,18,0009(brokerage business),746,68
