"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-09-17,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-09-17,,,,
Name of FF Member/OSBP,280113,-12178,Name of FF Member/OSBP,521232,1014,Name of FF Member/OSBP,511401,267,,,
Name of Non-FF Member/OSNBP,2519,-1756,Name of Non-FF Member/OSNBP,3655,-47,Name of Non-FF Member/OSNBP,13486,700,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-09-17,
1,0148(brokerage business),18490,287,1,0148(brokerage business),18472,-76,1,0148(brokerage business),17252,-534
2,0163(brokerage business),16809,-2714,2,0004(brokerage business),17897,-290,2,0049(brokerage business),10219,-537
3,0004(brokerage business),11724,-1785,3,0049(brokerage business),14742,-670,3,0163(brokerage business),9291,-1397
4,0049(brokerage business),6456,-1917,4,0272(brokerage business),8078,-266,4,0004(brokerage business),7376,-1024
5,0272(brokerage business),6084,-248,5,0163(brokerage business),6670,598,5,0139(brokerage business),7106,-1348
6,0096(brokerage business),5842,253,6,0077(brokerage business),5096,194,6,0009(brokerage business),7075,-403
7,0253(brokerage business),4082,-517,7,0103(brokerage business),4182,-132,7,0025(brokerage business),6476,429
8,0308(brokerage business),4043,-502,8,0253(brokerage business),3904,27,8,0321(brokerage business),5151,-293
9,0123(brokerage business),3492,842,9,0240(brokerage business),3425,-76,9,0082(brokerage business),4999,-981
10,0275(brokerage business),3484,-274,10,0268(brokerage business),3303,-104,10,0272(brokerage business),4099,396
11,0321(brokerage business),2925,2110,11,0096(brokerage business),2747,-304,11,0240(brokerage business),4016,105
12,0034(brokerage business),2923,-1426,12,0042(brokerage business),2634,-7,12,0315(brokerage business),3871,230
13,0240(brokerage business),2507,-955,13,0321(brokerage business),2484,-866,13,0253(brokerage business),3402,-225
14,0315(brokerage business),2502,-300,14,0081(brokerage business),2209,279,14,0169(brokerage business),3014,-38
15,0082(brokerage business),2486,959,15,0003(brokerage business),2033,-267,15,0034(brokerage business),2990,190
16,0081(brokerage business),2478,162,16,0323(brokerage business),1932,18,16,0096(brokerage business),2833,-134
17,0009(brokerage business),1877,265,17,0308(brokerage business),1887,-17,17,0308(brokerage business),2750,32
18,0268(brokerage business),1824,-354,18,0136(brokerage business),1868,-133,18,0018(brokerage business),2570,126
19,0058(brokerage business),1768,-778,19,0034(brokerage business),1838,-255,19,0081(brokerage business),2565,139
20,0103(brokerage business),1576,-1925,20,0338(brokerage business),1802,-211,20,0058(brokerage business),2362,-716
Total,,103372,-8817,Total,,107203,-2558,Total,,109417,-5983
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-09-17,
1,0163(brokerage business),9138,429,1,0148(brokerage business),22814,848,1,0148(brokerage business),16279,113
2,0004(brokerage business),7805,-1744,2,0004(brokerage business),9955,320,2,0004(brokerage business),15259,43
3,0148(brokerage business),7585,-205,3,0272(brokerage business),7003,-1266,3,0049(brokerage business),9861,502
4,0272(brokerage business),5401,926,4,0239(brokerage business),6485,446,4,0163(brokerage business),5673,172
5,0096(brokerage business),3496,-43,5,0049(brokerage business),5206,254,5,0315(brokerage business),5255,1
6,0275(brokerage business),3473,86,6,0003(brokerage business),5054,44,6,0272(brokerage business),4319,101
7,0308(brokerage business),2758,-134,7,0163(brokerage business),4160,-648,7,0009(brokerage business),4273,321
8,0253(brokerage business),2063,-318,8,0259(brokerage business),3175,-269,8,0042(brokerage business),4027,170
9,0049(brokerage business),2032,305,9,0034(brokerage business),3110,-90,9,0321(brokerage business),3726,57
10,0059(brokerage business),1476,373,10,0268(brokerage business),3036,-3,10,0253(brokerage business),3458,-25
11,0103(brokerage business),1312,840,11,0308(brokerage business),2859,98,11,0139(brokerage business),3309,6
12,0034(brokerage business),1278,484,12,0125(brokerage business),2698,291,12,0069(brokerage business),3205,-7
13,0123(brokerage business),1271,378,13,0123(brokerage business),2373,47,13,0082(brokerage business),2710,10
14,0240(brokerage business),1192,108,14,0253(brokerage business),2357,64,14,0067(brokerage business),2496,-322
15,0333(brokerage business),1072,304,15,0323(brokerage business),2315,7,15,0169(brokerage business),2485,19
16,0151(brokerage business),966,413,16,0103(brokerage business),2310,177,16,0034(brokerage business),2323,50
17,0259(brokerage business),950,149,17,0385(brokerage business),2297,-4,17,0240(brokerage business),2305,89
18,0137(brokerage business),856,553,18,0178(brokerage business),2142,2,18,0177(brokerage business),2069,-151
19,0019(brokerage business),837,-126,19,0096(brokerage business),1938,-160,19,0025(brokerage business),1846,-169
20,0009(brokerage business),833,131,20,0274(brokerage business),1887,101,20,0138(brokerage business),1830,22
Total,,55794,2909,Total,,93174,259,Total,,96708,1002
