"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-20,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-20,,,,
Name of FF Member/OSBP,300114,-126066,Name of FF Member/OSBP,542391,-6705,Name of FF Member/OSBP,533664,-7025,,,
Name of Non-FF Member/OSNBP,3234,-100,Name of Non-FF Member/OSNBP,2149,-317,Name of Non-FF Member/OSNBP,10876,3,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-08-20,
1,0163(brokerage business),18849,-8465,1,0004(brokerage business),20550,-1366,1,0148(brokerage business),14671,-2176
2,0148(brokerage business),17296,-3946,2,0148(brokerage business),18582,-1380,2,0049(brokerage business),14120,-1004
3,0004(brokerage business),8436,-5576,3,0049(brokerage business),11210,-374,3,0163(brokerage business),8518,-1522
4,0275(brokerage business),5515,-892,4,0163(brokerage business),7195,-55,4,0004(brokerage business),7008,-460
5,0049(brokerage business),5218,-4596,5,0272(brokerage business),5736,132,5,0009(brokerage business),5709,1
6,0096(brokerage business),4394,-1358,6,0103(brokerage business),5599,-159,6,0321(brokerage business),4998,-153
7,0272(brokerage business),4070,-3265,7,0139(brokerage business),5437,571,7,0272(brokerage business),4654,-770
8,0308(brokerage business),3766,-1741,8,0025(brokerage business),4551,-868,8,0253(brokerage business),4554,-556
9,0025(brokerage business),2803,546,9,0077(brokerage business),3651,-616,9,0139(brokerage business),3979,-135
10,0253(brokerage business),2749,-2471,10,0253(brokerage business),3539,235,10,0003(brokerage business),3930,-174
11,0009(brokerage business),2717,-325,11,0240(brokerage business),3375,-95,11,0058(brokerage business),3736,-1086
12,0095(brokerage business),2521,672,12,0321(brokerage business),2864,-563,12,0082(brokerage business),3656,217
13,0268(brokerage business),2443,-1027,13,0275(brokerage business),2827,136,13,0169(brokerage business),3507,-313
14,0081(brokerage business),2370,-358,14,0335(brokerage business),2493,32,14,0034(brokerage business),3295,-180
15,0042(brokerage business),2132,-861,15,0042(brokerage business),2443,-95,15,0315(brokerage business),3261,-402
16,0058(brokerage business),2112,-840,16,0082(brokerage business),2420,-14,16,0240(brokerage business),3139,-170
17,0034(brokerage business),2013,-385,17,0003(brokerage business),2262,-104,17,0042(brokerage business),2948,-951
18,0240(brokerage business),1863,-1178,18,0268(brokerage business),2044,-508,18,0096(brokerage business),2814,-108
19,0321(brokerage business),1862,-552,19,0009(brokerage business),2025,-1008,19,0308(brokerage business),2790,-662
20,0043(brokerage business),1538,-773,20,0161(brokerage business),1850,110,20,0018(brokerage business),2289,-118
Total,,94667,-37391,Total,,110653,-5989,Total,,103576,-10722
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-08-20,
