"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-19,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
1,0163(brokerage business),1503,-227,1,0148(brokerage business),2914,12,1,0148(brokerage business),8535,-43
2,0004(brokerage business),766,-108,2,0049(brokerage business),2444,51,2,0049(brokerage business),5345,183
3,0103(brokerage business),483,307,3,0136(brokerage business),2185,40,3,0272(brokerage business),3598,-4
4,0148(brokerage business),459,-503,4,0034(brokerage business),1688,20,4,0103(brokerage business),1556,64
5,0308(brokerage business),357,-81,5,0069(brokerage business),1667,-25,5,0004(brokerage business),1445,-29
6,0275(brokerage business),351,-166,6,0004(brokerage business),1567,-475,6,0042(brokerage business),1015,0
7,0272(brokerage business),331,-172,7,0031(brokerage business),1236,2,7,0372(brokerage business),939,3
8,0240(brokerage business),320,-22,8,0272(brokerage business),1154,-3,8,0067(brokerage business),912,0
9,0049(brokerage business),312,218,9,0323(brokerage business),1109,8,9,0077(brokerage business),806,-11
10,0333(brokerage business),300,-292,10,0177(brokerage business),920,65,10,0240(brokerage business),709,29
11,0274(brokerage business),280,225,11,0274(brokerage business),706,244,11,0082(brokerage business),552,2
12,0178(brokerage business),194,128,12,0339(brokerage business),689,0,12,0163(brokerage business),482,-373
13,0123(brokerage business),145,-47,13,0103(brokerage business),656,-363,13,0018(brokerage business),454,0
14,0034(brokerage business),135,-48,14,0163(brokerage business),634,-182,14,0009(brokerage business),441,25
15,0186(brokerage business),126,51,15,0178(brokerage business),568,130,15,0333(brokerage business),346,15
16,0323(brokerage business),113,-64,16,0058(brokerage business),560,3,16,0069(brokerage business),269,-1
17,0081(brokerage business),100,-59,17,0139(brokerage business),539,-3,17,0288(brokerage business),257,-1
18,0001(brokerage business),95,34,18,0333(brokerage business),539,109,18,0095(brokerage business),251,12
19,0096(brokerage business),93,28,19,0338(brokerage business),504,-2,19,0169(brokerage business),212,0
20,0069(brokerage business),90,-14,20,0253(brokerage business),477,-8,20,0299(brokerage business),183,0
Total,,6553,-812,Total,,22756,-377,Total,,28307,-129
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2703,,,,,,,,,,2026-08-19,
1,0272(brokerage business),556,390,1,0148(brokerage business),1754,5,1,0148(brokerage business),8555,4
2,0163(brokerage business),477,300,2,0069(brokerage business),1486,-21,2,0049(brokerage business),1637,273
3,0333(brokerage business),376,237,3,0049(brokerage business),1174,23,3,0004(brokerage business),1464,78
4,0049(brokerage business),336,298,4,0136(brokerage business),1131,5,4,0163(brokerage business),1167,164
5,0019(brokerage business),308,297,5,0323(brokerage business),1020,-4,5,0422(brokerage business),1040,0
6,0077(brokerage business),296,276,6,0003(brokerage business),977,1,6,0077(brokerage business),897,275
7,0186(brokerage business),195,193,7,0034(brokerage business),839,152,7,0103(brokerage business),849,-3
8,0004(brokerage business),163,91,8,0338(brokerage business),782,0,8,0333(brokerage business),433,-102
9,0034(brokerage business),157,156,9,0031(brokerage business),758,0,9,0042(brokerage business),361,0
10,0339(brokerage business),153,153,10,0272(brokerage business),729,64,10,0269(brokerage business),248,0
11,0240(brokerage business),149,60,11,0268(brokerage business),615,-4,11,0272(brokerage business),174,-70
12,0372(brokerage business),117,116,12,0082(brokerage business),543,1,12,0240(brokerage business),149,26
13,0239(brokerage business),100,100,13,0253(brokerage business),543,3,13,0123(brokerage business),117,-14
14,0148(brokerage business),85,28,14,0372(brokerage business),434,117,14,0008(brokerage business),103,0
15,0259(brokerage business),83,23,15,0019(brokerage business),398,-292,15,0268(brokerage business),97,1
16,0081(brokerage business),58,44,16,0042(brokerage business),385,1,16,0096(brokerage business),70,-1
17,0238(brokerage business),48,22,17,0331(brokerage business),382,-33,17,0088(brokerage business),63,-1
18,0323(brokerage business),41,36,18,0096(brokerage business),340,0,18,0274(brokerage business),63,0
19,0123(brokerage business),39,-25,19,0333(brokerage business),324,92,19,0313(brokerage business),62,0
20,0095(brokerage business),38,14,20,0004(brokerage business),312,7,20,0009(brokerage business),58,0
Total,,3775,2809,Total,,14926,117,Total,,17607,630
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：bc2609,,,,,,,,,,2026-08-19,
1,8163(brokerage business),4952,-82,1,8148(brokerage business),2842,54,1,8148(brokerage business),3052,97
2,8253(brokerage business),2251,-423,2,8004(brokerage business),2476,-153,2,8004(brokerage business),2013,-647
3,8148(brokerage business),2167,-130,3,8081(brokerage business),777,-20,3,8009(brokerage business),1345,0
4,8004(brokerage business),2120,656,4,8184(brokerage business),720,-14,4,8081(brokerage business),914,-34
5,8275(brokerage business),2040,1376,5,8009(brokerage business),640,-5,5,8025(brokerage business),700,0
6,8161(brokerage business),1187,779,6,8323(brokerage business),609,-6,6,8323(brokerage business),608,-23
7,8308(brokerage business),860,369,7,8082(brokerage business),594,-33,7,8082(brokerage business),551,2
8,8081(brokerage business),622,1,8,8103(brokerage business),517,-66,8,8048(brokerage business),447,78
9,8272(brokerage business),549,-70,9,8048(brokerage business),460,77,9,8103(brokerage business),439,-47
10,8123(brokerage business),443,-619,10,8163(brokerage business),444,-45,10,8161(brokerage business),428,-80
11,8096(brokerage business),436,-36,11,8161(brokerage business),436,-79,11,8049(brokerage business),400,0
12,8082(brokerage business),413,-19,12,8253(brokerage business),322,-9,12,8240(brokerage business),397,-2
13,8009(brokerage business),309,10,13,8239(brokerage business),219,-46,13,8163(brokerage business),376,-69
14,8048(brokerage business),279,17,14,8003(brokerage business),203,199,14,8096(brokerage business),373,-12
15,8003(brokerage business),201,-311,15,8272(brokerage business),181,-17,15,8274(brokerage business),163,2
16,8153(brokerage business),185,-28,16,8001(brokerage business),121,-38,16,8153(brokerage business),128,127
17,8103(brokerage business),179,5,17,8084(brokerage business),116,-14,17,8184(brokerage business),85,5
18,8084(brokerage business),172,85,18,8308(brokerage business),105,55,18,8308(brokerage business),69,-37
19,8184(brokerage business),159,-41,19,8311(brokerage business),89,-28,19,8253(brokerage business),42,10
20,8268(brokerage business),122,37,20,8259(brokerage business),78,-9,20,8013(brokerage business),41,-39
Total,,19646,1576,Total,,11949,-197,Total,,12571,-669
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：alall,,,,,,,2026-08-19,,,,
Name of FF Member/OSBP,733791,184549,Name of FF Member/OSBP,621689,-5073,Name of FF Member/OSBP,620615,-3744,,,
Name of Non-FF Member/OSNBP,1329,731,Name of Non-FF Member/OSNBP,970,970,Name of Non-FF Member/OSNBP,2044,-359,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2609,,,,,,,,,,2026-08-19,
1,0004(brokerage business),36504,6462,1,0148(brokerage business),21258,-3073,1,0004(brokerage business),17180,-4288
2,0148(brokerage business),31800,-3722,2,0004(brokerage business),16546,-5610,2,0148(brokerage business),15779,-2785
3,0163(brokerage business),29463,3823,3,0139(brokerage business),8133,225,3,0275(brokerage business),6265,-1519
4,0275(brokerage business),19930,9815,4,0163(brokerage business),5933,-2102,4,0139(brokerage business),6068,-457
5,0253(brokerage business),17885,2046,5,0123(brokerage business),5436,213,5,0272(brokerage business),5763,-98
6,0272(brokerage business),7905,3026,6,0161(brokerage business),5227,-994,6,0034(brokerage business),5547,-527
7,0081(brokerage business),6839,2481,7,0323(brokerage business),4349,-328,7,0253(brokerage business),5230,-2005
8,0123(brokerage business),6218,-321,8,0003(brokerage business),4077,299,8,0240(brokerage business),5123,-604
9,0034(brokerage business),4093,1555,9,0034(brokerage business),3938,-384,9,0268(brokerage business),4538,-1025
10,0268(brokerage business),4057,1399,10,0069(brokerage business),3572,-701,10,0049(brokerage business),4061,-467
11,0069(brokerage business),4037,1940,11,0272(brokerage business),3494,-809,11,0163(brokerage business),3582,-435
12,0323(brokerage business),3392,-897,12,0253(brokerage business),2988,-2342,12,0103(brokerage business),3310,-284
13,0240(brokerage business),3009,-63,13,0103(brokerage business),2649,-820,13,0161(brokerage business),3246,-34
14,0139(brokerage business),2742,418,14,0096(brokerage business),2641,-176,14,0123(brokerage business),2886,-509
15,0058(brokerage business),2434,1308,15,0275(brokerage business),2574,71,15,0002(brokerage business),2350,-508
16,0327(brokerage business),2305,815,16,0049(brokerage business),2530,-156,16,0082(brokerage business),2038,-975
17,0161(brokerage business),2268,507,17,0058(brokerage business),2467,1172,17,0069(brokerage business),2016,-540
18,0018(brokerage business),2199,226,18,0240(brokerage business),2298,-355,18,0042(brokerage business),1981,-307
19,0082(brokerage business),2192,989,19,0153(brokerage business),2000,-256,19,0048(brokerage business),1964,-88
20,0019(brokerage business),2112,996,20,0007(brokerage business),1892,-166,20,0018(brokerage business),1958,-539
Total,,191384,32803,Total,,104002,-16292,Total,,100885,-17994
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2610,,,,,,,,,,2026-08-19,
1,0004(brokerage business),58921,15263,1,0148(brokerage business),37605,497,1,0004(brokerage business),41893,4565
2,0148(brokerage business),44797,10588,2,0004(brokerage business),24804,2530,2,0148(brokerage business),33626,1494
3,0163(brokerage business),43891,15328,3,0163(brokerage business),17202,11,3,0123(brokerage business),17625,35
4,0253(brokerage business),23163,6440,4,0239(brokerage business),14396,-2667,4,0163(brokerage business),15004,1756
5,0272(brokerage business),14428,9804,5,0335(brokerage business),10851,-453,5,0103(brokerage business),10502,1720
6,0275(brokerage business),14097,178,6,0272(brokerage business),9208,-377,6,0058(brokerage business),9136,-524
7,0081(brokerage business),9219,1588,7,0034(brokerage business),8828,-150,7,0272(brokerage business),8153,91
8,0323(brokerage business),8297,890,8,0268(brokerage business),7820,844,8,0323(brokerage business),7549,1178
9,0259(brokerage business),8170,7429,9,0253(brokerage business),7145,1606,9,0239(brokerage business),6927,-129
10,0240(brokerage business),6817,2512,10,0103(brokerage business),6359,234,10,0253(brokerage business),6687,27
11,0123(brokerage business),5448,1190,11,0275(brokerage business),5667,1582,11,0240(brokerage business),6193,355
12,0069(brokerage business),4782,1867,12,0323(brokerage business),5392,169,12,0139(brokerage business),5891,-398
13,0161(brokerage business),4767,2553,13,0049(brokerage business),5148,-241,13,0275(brokerage business),4460,677
14,0103(brokerage business),4354,1972,14,0042(brokerage business),5009,-12,14,0096(brokerage business),4095,-30
15,0034(brokerage business),4223,715,15,0084(brokerage business),4710,-349,15,0008(brokerage business),3908,42
16,0239(brokerage business),3764,-1141,16,0069(brokerage business),4499,155,16,0059(brokerage business),3826,21
17,0059(brokerage business),3751,2117,17,0240(brokerage business),4411,492,17,0082(brokerage business),3755,-51
18,0096(brokerage business),3672,1167,18,0184(brokerage business),3824,520,18,0009(brokerage business),3653,126
19,0308(brokerage business),3530,1524,19,0077(brokerage business),3706,42,19,0048(brokerage business),3492,301
20,0018(brokerage business),3499,2218,20,0096(brokerage business),3668,408,20,0372(brokerage business),3464,28
Total,,273590,84202,Total,,190252,4841,Total,,199839,11284
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2611,,,,,,,,,,2026-08-19,
1,0148(brokerage business),15121,3875,1,0148(brokerage business),10639,1615,1,0004(brokerage business),13728,1643
2,0163(brokerage business),11653,4504,2,0004(brokerage business),10094,366,2,0148(brokerage business),9950,734
3,0004(brokerage business),7117,1439,3,0268(brokerage business),6410,344,3,0123(brokerage business),9745,119
4,0253(brokerage business),6561,3004,4,0034(brokerage business),4408,715,4,0139(brokerage business),4597,708
5,0275(brokerage business),3338,1356,5,0272(brokerage business),4279,59,5,0103(brokerage business),4342,189
6,0323(brokerage business),2863,-1,6,0163(brokerage business),3522,846,6,0058(brokerage business),3726,33
7,0081(brokerage business),1392,681,7,0239(brokerage business),3159,687,7,0163(brokerage business),3666,-81
8,0034(brokerage business),1252,758,8,0323(brokerage business),3041,-461,8,0308(brokerage business),3187,-36
9,0059(brokerage business),1225,495,9,0069(brokerage business),2774,-5,9,0048(brokerage business),2332,230
10,0308(brokerage business),1089,199,10,0077(brokerage business),2506,210,10,0002(brokerage business),2070,300
11,0239(brokerage business),1087,658,11,0049(brokerage business),2473,-3,11,0323(brokerage business),2019,1008
12,0259(brokerage business),1077,813,12,0253(brokerage business),1926,520,12,0096(brokerage business),1789,3
13,0274(brokerage business),978,546,13,0123(brokerage business),1467,163,13,0311(brokerage business),1469,55
14,0240(brokerage business),860,-18,14,0153(brokerage business),1432,-6,14,0268(brokerage business),1423,-128
15,0139(brokerage business),854,839,15,0059(brokerage business),1325,160,15,0003(brokerage business),1415,17
16,0069(brokerage business),824,84,16,0275(brokerage business),1321,135,16,0272(brokerage business),1390,281
17,0272(brokerage business),804,141,17,0372(brokerage business),1075,-15,17,0253(brokerage business),1234,315
18,0123(brokerage business),758,92,18,0240(brokerage business),1000,84,18,0275(brokerage business),1099,-21
19,0137(brokerage business),669,317,19,0139(brokerage business),995,14,19,0240(brokerage business),977,96
20,0007(brokerage business),662,371,20,0042(brokerage business),980,115,20,0008(brokerage business),961,82
Total,,60184,20153,Total,,64826,5543,Total,,71119,5547
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2612,,,,,,,,,,2026-08-19,
1,0163(brokerage business),5070,2057,1,0148(brokerage business),8288,130,1,0148(brokerage business),9024,-306
2,0148(brokerage business),3156,1716,2,0004(brokerage business),6513,312,2,0004(brokerage business),7086,387
3,0004(brokerage business),2351,445,3,0272(brokerage business),4666,31,3,0123(brokerage business),6150,297
4,0323(brokerage business),2310,908,4,0034(brokerage business),3160,76,4,0139(brokerage business),5940,-138
5,0253(brokerage business),1238,709,5,0323(brokerage business),2549,483,5,0103(brokerage business),3545,28
6,0058(brokerage business),1211,1179,6,0268(brokerage business),2390,109,6,0239(brokerage business),3399,-122
7,0275(brokerage business),1117,843,7,0096(brokerage business),2141,-10,7,0042(brokerage business),2925,-3
8,0308(brokerage business),1028,-171,8,0315(brokerage business),1831,4,8,0272(brokerage business),1841,358
9,0081(brokerage business),991,9,9,0069(brokerage business),1744,409,9,0268(brokerage business),1564,-3
10,0240(brokerage business),875,-489,10,0103(brokerage business),1550,43,10,0082(brokerage business),1339,1
11,0069(brokerage business),840,146,11,0123(brokerage business),1472,10,11,0163(brokerage business),1297,197
12,0139(brokerage business),785,35,12,0042(brokerage business),1416,9,12,0058(brokerage business),1253,1161
13,0186(brokerage business),710,676,13,0274(brokerage business),1349,125,13,0240(brokerage business),1150,336
14,0259(brokerage business),650,586,14,0007(brokerage business),1307,6,14,0151(brokerage business),1002,250
15,0274(brokerage business),610,299,15,0321(brokerage business),1082,106,15,0275(brokerage business),971,68
16,0272(brokerage business),591,-257,16,0240(brokerage business),997,11,16,0323(brokerage business),766,-69
17,0123(brokerage business),543,292,17,0003(brokerage business),943,0,17,0125(brokerage business),759,0
18,0239(brokerage business),318,-261,18,0139(brokerage business),839,1,18,0253(brokerage business),590,70
19,0151(brokerage business),304,-446,19,0254(brokerage business),839,15,19,0048(brokerage business),558,136
20,0299(brokerage business),276,263,20,0239(brokerage business),793,38,20,0308(brokerage business),528,-247
Total,,24974,8539,Total,,45869,1908,Total,,51687,2401
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：al2701,,,,,,,,,,2026-08-19,
1,0148(brokerage business),2806,992,1,0034(brokerage business),5133,-10,1,0148(brokerage business),7571,-249
2,0163(brokerage business),2298,-483,2,0148(brokerage business),4117,-37,2,0004(brokerage business),4045,538
3,0004(brokerage business),1413,293,3,0323(brokerage business),3086,1007,3,0042(brokerage business),2039,18
4,0323(brokerage business),1363,166,4,0049(brokerage business),2647,16,4,0249(brokerage business),1590,0
5,0253(brokerage business),1351,795,5,0004(brokerage business),2389,71,5,0103(brokerage business),1531,22
6,0081(brokerage business),933,405,6,0069(brokerage business),2144,223,6,0277(brokerage business),1514,496
7,0308(brokerage business),584,374,7,0268(brokerage business),1826,66,7,0253(brokerage business),1136,218
