"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-19,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-19,,,,
Name of FF Member/OSBP,426180,-32871,Name of FF Member/OSBP,549096,-17100,Name of FF Member/OSBP,540689,-15892,,,
Name of Non-FF Member/OSNBP,3334,135,Name of Non-FF Member/OSNBP,2466,-144,Name of Non-FF Member/OSNBP,10873,-1352,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2609,,,,,,,,,,2026-08-19,
1,0163(brokerage business),27314,3186,1,0004(brokerage business),21916,-1632,1,0148(brokerage business),16847,-1076
2,0148(brokerage business),21242,-3753,2,0148(brokerage business),19962,-2104,2,0049(brokerage business),15124,-1114
3,0004(brokerage business),14012,-3125,3,0049(brokerage business),11584,406,3,0163(brokerage business),10040,148
4,0049(brokerage business),9814,2139,4,0163(brokerage business),7250,-852,4,0004(brokerage business),7468,-1004
5,0272(brokerage business),7335,-585,5,0103(brokerage business),5758,-722,5,0009(brokerage business),5708,326
6,0275(brokerage business),6407,-695,6,0272(brokerage business),5604,-1315,6,0272(brokerage business),5424,38
7,0096(brokerage business),5752,-33,7,0025(brokerage business),5419,357,7,0321(brokerage business),5151,249
8,0308(brokerage business),5507,491,8,0139(brokerage business),4866,-416,8,0253(brokerage business),5110,-341
9,0253(brokerage business),5220,-4,9,0077(brokerage business),4267,-316,9,0058(brokerage business),4822,-1330
10,0268(brokerage business),3470,32,10,0240(brokerage business),3470,-453,10,0139(brokerage business),4114,60
11,0009(brokerage business),3042,242,11,0321(brokerage business),3427,9,11,0003(brokerage business),4104,-244
12,0240(brokerage business),3041,-421,12,0253(brokerage business),3304,-939,12,0042(brokerage business),3899,-1251
13,0042(brokerage business),2993,429,13,0009(brokerage business),3033,-38,13,0169(brokerage business),3820,-201
14,0058(brokerage business),2952,207,14,0275(brokerage business),2691,-305,14,0315(brokerage business),3663,-1233
15,0123(brokerage business),2797,-2512,15,0268(brokerage business),2552,-93,15,0034(brokerage business),3475,-260
16,0081(brokerage business),2728,-2172,16,0042(brokerage business),2538,8,16,0308(brokerage business),3452,1031
17,0321(brokerage business),2414,591,17,0335(brokerage business),2461,-426,17,0082(brokerage business),3439,-195
18,0034(brokerage business),2398,-1789,18,0082(brokerage business),2434,-133,18,0240(brokerage business),3309,-334
19,0043(brokerage business),2311,211,19,0003(brokerage business),2366,381,19,0096(brokerage business),2922,-597
20,0025(brokerage business),2257,361,20,0125(brokerage business),2237,644,20,0018(brokerage business),2407,-360
Total,,133006,-7200,Total,,117139,-7939,Total,,114298,-7688
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2610,,,,,,,,,,2026-08-19,
1,0163(brokerage business),19912,1269,1,0148(brokerage business),30132,-369,1,0148(brokerage business),17008,-41
2,0148(brokerage business),17970,1459,2,0004(brokerage business),15736,-586,2,0004(brokerage business),15983,-1574
3,0004(brokerage business),17840,-994,3,0272(brokerage business),9688,639,3,0049(brokerage business),11039,-1154
4,0049(brokerage business),7355,4719,4,0103(brokerage business),7596,323,4,0139(brokerage business),10152,-323
5,0308(brokerage business),5657,243,5,0239(brokerage business),6650,-3487,5,0163(brokerage business),9622,1075
6,0275(brokerage business),4551,-831,6,0163(brokerage business),6195,-149,6,0009(brokerage business),8659,-305
7,0272(brokerage business),4496,834,7,0308(brokerage business),4117,1792,7,0042(brokerage business),8213,-344
8,0239(brokerage business),3930,848,8,0259(brokerage business),3911,1644,8,0315(brokerage business),4870,-23
9,0253(brokerage business),3757,381,9,0268(brokerage business),3507,-199,9,0069(brokerage business),4004,-315
10,0259(brokerage business),2683,-379,10,0335(brokerage business),3487,-274,10,0034(brokerage business),3943,-66
11,0096(brokerage business),2640,264,11,0049(brokerage business),3422,-931,11,0272(brokerage business),3634,1079
12,0042(brokerage business),2271,255,12,0125(brokerage business),3274,-30,12,0096(brokerage business),3486,540
13,0034(brokerage business),2174,-186,13,0253(brokerage business),2930,-24,13,0082(brokerage business),3479,3
14,0240(brokerage business),2062,-1405,14,0275(brokerage business),2345,44,14,0372(brokerage business),3393,-240
15,0125(brokerage business),2051,887,15,0003(brokerage business),2220,231,15,0321(brokerage business),3204,168
16,0103(brokerage business),2041,33,16,0077(brokerage business),2112,-565,16,0125(brokerage business),3012,777
17,0323(brokerage business),1978,503,17,0123(brokerage business),2088,193,17,0169(brokerage business),3005,85
18,0077(brokerage business),1638,389,18,0240(brokerage business),2070,-165,18,0081(brokerage business),2557,156
19,0081(brokerage business),1627,-1690,19,0096(brokerage business),2062,-90,19,0025(brokerage business),2548,147
20,0123(brokerage business),1597,-2056,20,0274(brokerage business),2047,-231,20,0138(brokerage business),2495,-31
Total,,108230,4543,Total,,115589,-2234,Total,,124306,-386
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2611,,,,,,,,,,2026-08-19,
1,0163(brokerage business),4685,208,1,0148(brokerage business),5556,196,1,0148(brokerage business),8875,361
2,0004(brokerage business),4353,-1239,2,0004(brokerage business),4628,507,2,0004(brokerage business),7059,798
3,0148(brokerage business),4081,532,3,0268(brokerage business),3379,284,3,0163(brokerage business),3545,449
4,0308(brokerage business),2931,-980,4,0049(brokerage business),2981,293,4,0042(brokerage business),3168,175
5,0275(brokerage business),1493,-358,5,0163(brokerage business),2753,654,5,0372(brokerage business),3055,39
6,0259(brokerage business),1247,-1302,6,0034(brokerage business),2685,68,6,0049(brokerage business),2599,260
7,0125(brokerage business),1207,934,7,0239(brokerage business),2508,528,7,0253(brokerage business),2572,-33
8,0239(brokerage business),1096,516,8,0025(brokerage business),2188,34,8,0272(brokerage business),2324,-34
9,0253(brokerage business),972,115,9,0178(brokerage business),2117,87,9,0308(brokerage business),1965,722
10,0178(brokerage business),938,536,10,0323(brokerage business),1690,110,10,0034(brokerage business),1820,-97
11,0123(brokerage business),877,-984,11,0253(brokerage business),1660,601,11,0259(brokerage business),1795,460
12,0240(brokerage business),813,104,12,0272(brokerage business),1482,12,12,0169(brokerage business),1387,-65
13,0049(brokerage business),767,458,13,0125(brokerage business),1430,188,13,0240(brokerage business),1159,46
14,0042(brokerage business),658,336,14,0274(brokerage business),1341,12,14,0315(brokerage business),1127,-3
15,0272(brokerage business),516,-367,15,0096(brokerage business),1283,3,15,0069(brokerage business),997,179
16,0372(brokerage business),512,-1712,16,0137(brokerage business),1153,60,16,0009(brokerage business),949,203
17,0276(brokerage business),508,413,17,0031(brokerage business),1054,89,17,0082(brokerage business),736,-3
18,0103(brokerage business),502,387,18,0321(brokerage business),1006,73,18,0003(brokerage business),714,-6
19,0096(brokerage business),490,188,19,0338(brokerage business),910,-36,19,0018(brokerage business),704,-6
20,0077(brokerage business),482,322,20,0103(brokerage business),888,-343,20,0125(brokerage business),669,-967
Total,,29128,-1893,Total,,42692,3420,Total,,47219,2478
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2612,,,,,,,,,,2026-08-19,
1,0163(brokerage business),2861,-77,1,0148(brokerage business),5601,10,1,0148(brokerage business),11336,113
2,0004(brokerage business),2456,-57,2,0136(brokerage business),4013,11,2,0049(brokerage business),8361,43
3,0148(brokerage business),1355,-670,3,0004(brokerage business),3142,19,3,0004(brokerage business),8339,1269
4,0272(brokerage business),1071,-539,4,0049(brokerage business),3044,55,4,0272(brokerage business),4159,-46
5,0333(brokerage business),1022,-406,5,0274(brokerage business),2716,-8,5,0125(brokerage business),3102,-8
6,0308(brokerage business),835,-148,6,0003(brokerage business),2253,18,6,0169(brokerage business),2143,25
7,0275(brokerage business),592,-634,7,0031(brokerage business),1992,0,7,0082(brokerage business),2086,-74
8,0096(brokerage business),457,-48,8,0272(brokerage business),1990,189,8,0163(brokerage business),1892,59
9,0240(brokerage business),439,-313,9,0069(brokerage business),1956,-111,9,0096(brokerage business),1650,-85
10,0081(brokerage business),378,-106,10,0034(brokerage business),1944,-64,10,0372(brokerage business),1532,134
11,0123(brokerage business),376,-332,11,0042(brokerage business),1875,83,11,0253(brokerage business),1367,-11
12,0323(brokerage business),360,186,12,0178(brokerage business),1858,-72,12,0025(brokerage business),1332,-1
13,0069(brokerage business),343,102,13,0081(brokerage business),1839,93,13,0240(brokerage business),1199,55
14,0151(brokerage business),323,66,14,0025(brokerage business),1657,-3,14,0139(brokerage business),1180,2
15,0178(brokerage business),309,20,15,0338(brokerage business),1608,19,15,0067(brokerage business),1091,-4
16,0059(brokerage business),287,95,16,0323(brokerage business),1513,157,16,0103(brokerage business),1044,-21
17,0077(brokerage business),287,169,17,0163(brokerage business),1331,4,17,0333(brokerage business),968,46
18,0259(brokerage business),264,-216,18,0253(brokerage business),1321,-20,18,0042(brokerage business),892,0
19,0372(brokerage business),263,-410,19,0077(brokerage business),1314,-85,19,0003(brokerage business),795,16
20,0125(brokerage business),259,-219,20,0339(brokerage business),1114,58,20,0081(brokerage business),789,-71
Total,,14537,-3537,Total,,44081,353,Total,,55257,1441
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：cu2701,,,,,,,,,,2026-08-19,
