Placeholder,CMD,Contract,Date,Metric,Level,Change
1,ag,2612,5/6/2026,Volume,19986,-4367
1,rb,2605,5/6/2026,Volume,6931,-43146
1,rb,2607,5/6/2026,Volume,111209,-64473
1,rb,2609,5/6/2026,Volume,35597,-5343
1,rb,2610,5/6/2026,Volume,941079,81079
1,hc,2605,5/6/2026,Volume,4603,-28557
1,hc,2607,5/6/2026,Volume,89292,-68115
1,hc,2609,5/6/2026,Volume,26219,-9845
1,hc,2610,5/6/2026,Volume,815393,200767
1,ss,2605,5/6/2026,Volume,576,-7705
1,ss,2606,5/6/2026,Volume,283172,-323085
1,ss,2607,5/6/2026,Volume,101938,-74117
1,lu,2606,5/6/2026,Volume,53034,-44083
1,fu,2606,5/6/2026,Volume,219243,-252332
1,fu,2607,5/6/2026,Volume,36465,-15403
1,fu,2609,5/6/2026,Volume,73496,-35403
1,bu,2605,5/6/2026,Volume,972,-817
1,bu,2606,5/6/2026,Volume,339631,-338587
1,bu,2607,5/6/2026,Volume,54882,-37545
1,bu,2609,5/6/2026,Volume,68498,-42166
1,br,2605,5/6/2026,Volume,2063,-5577
1,br,2606,5/6/2026,Volume,259952,-268700
1,br,2607,5/6/2026,Volume,72704,-44493
1,ru,2605,5/6/2026,Volume,1938,-4007
1,ru,2609,5/6/2026,Volume,378128,-43096
1,ru,2701,5/6/2026,Volume,31807,2077
1,nr,2605,5/6/2026,Volume,420,-38
1,nr,2606,5/6/2026,Volume,92387,3728
1,nr,2607,5/6/2026,Volume,84807,25925
1,sp,2605,5/6/2026,Volume,4403,-11416
1,sp,2607,5/6/2026,Volume,31418,-10951
1,sp,2609,5/6/2026,Volume,219452,-50213
1,op,2606,5/6/2026,Volume,1827,-1818
1,cu,2605,5/6/2026,Long Position,35970,-3637
1,cu,2606,5/6/2026,Long Position,128772,8282
1,cu,2607,5/6/2026,Long Position,83988,2467
1,cu,2608,5/6/2026,Long Position,35461,397
1,cu,2609,5/6/2026,Long Position,32466,457
1,cu,2610,5/6/2026,Long Position,12776,251
1,cu,2612,5/6/2026,Long Position,18976,510
1,al,2605,5/6/2026,Long Position,28520,-2609
1,al,2606,5/6/2026,Long Position,187575,-326
1,al,2607,5/6/2026,Long Position,135460,4637
1,al,2608,5/6/2026,Long Position,47179,3176
1,al,2609,5/6/2026,Long Position,33816,2159
1,al,2610,5/6/2026,Long Position,15798,1735
1,zn,2605,5/6/2026,Long Position,6275,-305
1,zn,2606,5/6/2026,Long Position,64916,110
1,zn,2607,5/6/2026,Long Position,49365,1544
1,pb,2605,5/6/2026,Long Position,5250,300
1,pb,2606,5/6/2026,Long Position,51545,5044
1,pb,2607,5/6/2026,Long Position,27888,5375
1,ni,2605,5/6/2026,Long Position,13824,-219
1,ni,2606,5/6/2026,Long Position,104817,7152
1,ni,2607,5/6/2026,Long Position,60460,1974
1,ni,2608,5/6/2026,Long Position,28359,1928
1,ni,2609,5/6/2026,Long Position,42307,1038
1,sn,2605,5/6/2026,Long Position,3884,-226
1,sn,2606,5/6/2026,Long Position,30690,6270
1,sn,2607,5/6/2026,Long Position,14526,1567
1,ao,2605,5/6/2026,Long Position,4185,-551
1,ao,2606,5/6/2026,Long Position,34486,808
1,ao,2607,5/6/2026,Long Position,49361,710
1,ao,2609,5/6/2026,Long Position,167405,8125
1,ad,2605,5/6/2026,Long Position,690,3
1,ad,2606,5/6/2026,Long Position,6122,-150
1,au,2605,5/6/2026,Long Position,330,-48
1,au,2606,5/6/2026,Long Position,97452,714
1,au,2608,5/6/2026,Long Position,53278,2973
1,au,2610,5/6/2026,Long Position,14226,838
1,au,2612,5/6/2026,Long Position,12958,374
1,ag,2605,5/6/2026,Long Position,4396,-290
1,ag,2606,5/6/2026,Long Position,110092,5070
1,ag,2608,5/6/2026,Long Position,96059,2448
1,ag,2610,5/6/2026,Long Position,40358,2463
1,ag,2612,5/6/2026,Long Position,36410,580
1,rb,2605,5/6/2026,Long Position,9270,-810
1,rb,2607,5/6/2026,Long Position,266772,-4711
1,rb,2609,5/6/2026,Long Position,165240,5234
1,rb,2610,5/6/2026,Long Position,1367155,112642
1,hc,2605,5/6/2026,Long Position,45600,-569
1,hc,2607,5/6/2026,Long Position,248142,1498
1,hc,2609,5/6/2026,Long Position,117842,2475
1,hc,2610,5/6/2026,Long Position,1471358,106637
1,ss,2605,5/6/2026,Long Position,5196,-84
1,ss,2606,5/6/2026,Long Position,102886,2923
1,ss,2607,5/6/2026,Long Position,83479,1919
1,lu,2606,5/6/2026,Long Position,26991,-692
1,fu,2606,5/6/2026,Long Position,109023,5800
1,fu,2607,5/6/2026,Long Position,33608,5616
1,fu,2609,5/6/2026,Long Position,75094,5081
1,bu,2605,5/6/2026,Long Position,1815,-103
1,bu,2606,5/6/2026,Long Position,134094,4544
1,bu,2607,5/6/2026,Long Position,83431,2854
1,bu,2609,5/6/2026,Long Position,93784,5959
1,br,2605,5/6/2026,Long Position,2224,120
1,br,2606,5/6/2026,Long Position,29946,3243
1,br,2607,5/6/2026,Long Position,37425,1756
1,ru,2605,5/6/2026,Long Position,2718,-299
1,ru,2609,5/6/2026,Long Position,109978,7014
1,ru,2701,5/6/2026,Long Position,13324,1146
1,nr,2605,5/6/2026,Long Position,440,30
1,nr,2606,5/6/2026,Long Position,26253,-3156
1,nr,2607,5/6/2026,Long Position,46680,4530
1,sp,2605,5/6/2026,Long Position,7590,-1200
1,sp,2607,5/6/2026,Long Position,63401,-1884
1,sp,2609,5/6/2026,Long Position,139194,-68
1,op,2606,5/6/2026,Long Position,5116,-2
1,cu,2605,5/6/2026,Short Position,32190,-2591
1,cu,2606,5/6/2026,Short Position,140805,5839
1,cu,2607,5/6/2026,Short Position,92040,1517
1,cu,2608,5/6/2026,Short Position,41234,632
1,cu,2609,5/6/2026,Short Position,42923,221
1,cu,2610,5/6/2026,Short Position,14882,398
1,cu,2612,5/6/2026,Short Position,22664,197
1,al,2605,5/6/2026,Short Position,26365,-2041
1,al,2606,5/6/2026,Short Position,200466,1296
1,al,2607,5/6/2026,Short Position,138624,3585
1,al,2608,5/6/2026,Short Position,50419,2195
1,al,2609,5/6/2026,Short Position,38182,1700
1,al,2610,5/6/2026,Short Position,17252,1968
1,zn,2605,5/6/2026,Short Position,5700,-1121
1,zn,2606,5/6/2026,Short Position,61209,48
1,zn,2607,5/6/2026,Short Position,42104,220
1,pb,2605,5/6/2026,Short Position,5370,-205
1,pb,2606,5/6/2026,Short Position,55329,8813
1,pb,2607,5/6/2026,Short Position,27403,3129
1,ni,2605,5/6/2026,Short Position,14586,-274
1,ni,2606,5/6/2026,Short Position,123448,9650
1,ni,2607,5/6/2026,Short Position,62515,2974
1,ni,2608,5/6/2026,Short Position,30035,1854
1,ni,2609,5/6/2026,Short Position,53584,2030
1,sn,2605,5/6/2026,Short Position,3988,5
1,sn,2606,5/6/2026,Short Position,33495,6898
1,sn,2607,5/6/2026,Short Position,15362,2506
1,ao,2605,5/6/2026,Short Position,5520,-557
1,ao,2606,5/6/2026,Short Position,39598,1045
1,ao,2607,5/6/2026,Short Position,53432,-149
1,ao,2609,5/6/2026,Short Position,208009,3464
1,ad,2605,5/6/2026,Short Position,690,3
1,ad,2606,5/6/2026,Short Position,6760,-30
1,au,2605,5/6/2026,Short Position,495,-3
1,au,2606,5/6/2026,Short Position,32077,-2601
1,au,2608,5/6/2026,Short Position,11398,-80
1,au,2610,5/6/2026,Short Position,3140,79
1,au,2612,5/6/2026,Short Position,3679,-523
1,ag,2605,5/6/2026,Short Position,3688,-364
1,ag,2606,5/6/2026,Short Position,107489,2685
1,ag,2608,5/6/2026,Short Position,72972,2415
1,ag,2610,5/6/2026,Short Position,26535,1616
1,ag,2612,5/6/2026,Short Position,25371,353
1,rb,2605,5/6/2026,Short Position,10830,-2976
1,rb,2607,5/6/2026,Short Position,260748,-463
1,rb,2609,5/6/2026,Short Position,168397,3315
1,rb,2610,5/6/2026,Short Position,1297007,81341
1,hc,2605,5/6/2026,Short Position,45660,-991
1,hc,2607,5/6/2026,Short Position,233945,3179
1,hc,2609,5/6/2026,Short Position,117125,3295
1,hc,2610,5/6/2026,Short Position,1522174,105985
1,ss,2605,5/6/2026,Short Position,4944,-94
1,ss,2606,5/6/2026,Short Position,112007,2371
1,ss,2607,5/6/2026,Short Position,79183,1772
1,lu,2606,5/6/2026,Short Position,24658,-346
1,fu,2606,5/6/2026,Short Position,99168,2478
1,fu,2607,5/6/2026,Short Position,28553,4761
1,fu,2609,5/6/2026,Short Position,64773,7598
1,bu,2605,5/6/2026,Short Position,1770,-73
1,bu,2606,5/6/2026,Short Position,134223,3529
1,bu,2607,5/6/2026,Short Position,81900,2683
1,bu,2609,5/6/2026,Short Position,75380,4268
1,br,2605,5/6/2026,Short Position,2186,123
1,br,2606,5/6/2026,Short Position,30822,1687
1,br,2607,5/6/2026,Short Position,34666,2461
1,ru,2605,5/6/2026,Short Position,2313,-305
1,ru,2609,5/6/2026,Short Position,145163,6666
1,ru,2701,5/6/2026,Short Position,16459,951
1,nr,2605,5/6/2026,Short Position,440,0
1,nr,2606,5/6/2026,Short Position,30034,-2567
1,nr,2607,5/6/2026,Short Position,49031,5534
1,sp,2605,5/6/2026,Short Position,9250,-1594
1,sp,2607,5/6/2026,Short Position,68664,-895
1,sp,2609,5/6/2026,Short Position,189258,4129
1,op,2606,5/6/2026,Short Position,5275,40
