Placeholder,CMD,Contract,Date,Metric,Level,Change
1,cu,2605,5/6/2026,Volume,26463,-12350
1,cu,2606,5/6/2026,Volume,79760,-33184
1,cu,2607,5/6/2026,Volume,36791,-4346
1,cu,2608,5/6/2026,Volume,10594,-5304
1,cu,2609,5/6/2026,Volume,6584,-5727
1,cu,2610,5/6/2026,Volume,1889,-929
1,cu,2612,5/6/2026,Volume,2582,624
1,al,2605,5/6/2026,Volume,13462,-11030
1,al,2606,5/6/2026,Volume,205252,-92332
1,al,2607,5/6/2026,Volume,88286,-52595
1,al,2608,5/6/2026,Volume,21880,-7818
1,al,2609,5/6/2026,Volume,17512,2498
1,al,2610,5/6/2026,Volume,8347,4359
1,zn,2605,5/6/2026,Volume,6190,-8149
1,zn,2606,5/6/2026,Volume,135034,-19290
1,zn,2607,5/6/2026,Volume,51118,-8499
1,pb,2605,5/6/2026,Volume,4799,1051
1,pb,2606,5/6/2026,Volume,139711,54419
1,pb,2607,5/6/2026,Volume,50786,22320
1,ni,2605,5/6/2026,Volume,2992,-18876
1,ni,2606,5/6/2026,Volume,338316,-205985
1,ni,2607,5/6/2026,Volume,75199,-8299
1,ni,2608,5/6/2026,Volume,18951,7929
1,ni,2609,5/6/2026,Volume,43671,-14685
1,sn,2605,5/6/2026,Volume,4405,-10495
1,sn,2606,5/6/2026,Volume,245046,177
1,sn,2607,5/6/2026,Volume,59046,24614
1,ao,2605,5/6/2026,Volume,5106,-18026
1,ao,2606,5/6/2026,Volume,31333,-21559
1,ao,2607,5/6/2026,Volume,14297,-6321
1,ao,2609,5/6/2026,Volume,323155,-72720
1,ad,2605,5/6/2026,Volume,108,-366
1,ad,2606,5/6/2026,Volume,5468,-6133
1,au,2605,5/6/2026,Volume,129,-196
1,au,2606,5/6/2026,Volume,132414,-206876
1,au,2608,5/6/2026,Volume,38770,-41326
1,au,2610,5/6/2026,Volume,9058,-8180
1,au,2612,5/6/2026,Volume,5637,-2649
1,ag,2605,5/6/2026,Volume,1875,-3781
1,ag,2606,5/6/2026,Volume,287274,-410307
1,ag,2608,5/6/2026,Volume,175729,-167988
1,ag,2610,5/6/2026,Volume,43914,-27706
